DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
BU201600000001,BUGE71FL,BU,2016.0,1.0,BU2016DHS,38592.0390625,46018.91015625,54374.3125,85.5,83.4000015258789,103.07500457763672,101.95000457763672,26.375322341918945,24.173913955688477,30.242053985595703,31.449871063232422,0.0001563940998874133,0.00063393703555759,0.003679099716717684,30.036181640625,28.500833129882814,28.04566650390625,27.658831787109374,12.758333206176758,12.491666793823242,12.633333206176758,11.683333396911621,5.0,2932.5,2930.9,2899.5,3073.5,3297.4,3438.2,3353.0,0.0,0.0,0.0,0.0,27.8489010989011,465.952734375,10.0,0.0,0.07863589256279237,0.3968540079176079,0.7067020207010322,22.271273803710937,21.999667358398437,21.745249938964843,21.683999633789064,2.723648406647064,183.7102506868132,4.769051017342033,15.778738839285714,1.8415010892427885,0.6620619637625558,0.5049433026994977,0.4272347518375942,0.19200348854064941,0.7451128278459821,0.49396089145115446,0.3858837740761893,0.12391929115567889,27.183334350585938,27.766666412353516,27.366666793823242,26.600000381469727,20.766666412353516,21.491666793823242,21.03333282470703,20.725000381469727,14.425000190734863,15.27500057220459,14.733333587646484,14.916666984558105,0.00813058676446816,15.444833374023437,15.70916748046875,14.506362915039062,15.49849853515625,15.444833374023437,15.70916748046875,3.241666793823242,3.450000047683716,3.4083333015441895,3.241666793823242,19986.4276,13274.7291,89955.94809,1259.1,1145.1,1060.7,1043.8,826.1,1156.4,1134.5,2.7396714765946943,0.0,0.0,0.0,18.927749633789062,19.5052490234375,18.70924949645996,18.667499542236328,18.998748779296875,18.338001251220703,18.354249954223633,18.402000427246094,18.780498504638672,18.62874984741211,19.78175163269043,20.187999725341797,133.68956043956044,42.72527472527472,17.13603222922343,20.091544086341962,23.95806901396458,28.308008344686648,29937.84765625,34320.3515625,39727.5859375,45248.4375,95.72853708791209,109.74190848214286,127.0319582760989,144.68531078296704,12.950833320617676,12.672499656677246,14.423333168029785,14.2524995803833
BU201600000002,BUGE71FL,BU,2016.0,2.0,BU2016DHS,98896.2421875,117928.390625,139340.0,85.5,83.4000015258789,103.07500457763672,101.95000457763672,26.375322341918945,24.173913955688477,30.242053985595703,31.449871063232422,0.0005047415630726875,0.0010073742345918582,0.001974907856953295,30.273030598958332,28.94652811686198,29.279307047526043,28.703333536783855,12.758333206176758,12.491666793823242,12.633333206176758,11.683333396911621,5.0,2963.1666666666665,3047.6666666666665,3072.1666666666665,3144.0833333333335,3330.0833333333335,3511.9166666666665,3358.4166666666665,0.0,0.0,0.0,0.0,30.119565217391305,447.1223958333333,10.0,0.0,0.05456519729705775,0.34179850116156263,0.6247507115374578,22.286361694335938,22.1290283203125,22.340901692708332,22.135208129882812,7.953462938521798,129.5799663658038,24.878986077997276,4.670856527801431,3.588672939373297,0.570147705078125,0.31035029093424477,0.2631993293762207,0.1408320426940918,0.5823546091715495,0.25036853154500327,0.199028746287028,0.08279669284820557,27.183334350585938,27.766666412353516,27.366666793823242,26.600000381469727,20.766666412353516,21.491666793823242,21.03333282470703,20.725000381469727,14.425000190734863,15.27500057220459,14.733333587646484,14.916666984558105,0.005210997293824735,15.40250015258789,15.567083994547525,14.299696604410807,15.311528523763021,15.40250015258789,15.567083994547525,3.241666793823242,3.450000047683716,3.4083333015441895,3.241666793823242,52762.01101,6166.78596,79850.98303,1408.3333333333333,1094.75,1056.8333333333333,1119.5,937.5833333333334,1130.0,1299.0,2.81513232821015,0.0,0.0,0.0,19.422999064127605,20.351333618164062,19.50800069173177,19.415334065755207,19.65933354695638,18.902666727701824,18.854331970214844,19.201666514078777,19.200000762939453,19.312667846679688,20.32933298746745,20.886334737141926,91.56948228882834,39.33787465940055,40.47539743213807,47.456324354892764,56.58907925603217,66.86365826072387,75395.4609375,90057.71875,108456.1640625,128280.2109375,239.1183583106267,285.62014645776566,343.9713470708447,406.84392029972753,12.950833320617676,12.672499656677246,14.423333168029785,14.2524995803833
BU201600000003,BUGE71FL,BU,2016.0,3.0,BU2016DHS,2189.584716796875,2610.960693359375,3085.018310546875,85.5,83.4000015258789,103.07500457763672,101.95000457763672,26.375322341918945,24.173913955688477,30.242053985595703,31.449871063232422,0.0,0.001971225254237652,0.006217644860347112,29.968181610107422,28.878334045410156,28.998332977294922,28.638334274291992,12.758333206176758,12.491666793823242,12.633333206176758,11.683333396911621,5.0,3463,3452,3464,3477,3713,3850,3596,0.0,0.0,0.0,0.0,30.3125,465.9527587890625,10,0.0,0.03704430225487501,0.30625323542574256,0.5811136955785657,22.08727264404297,21.93833351135254,22.099166870117188,21.876667022705078,9.594391822814941,118.62193298339844,17.40764808654785,3.744448184967041,3.2479891777038574,0.6017239093780518,0.3522091805934906,0.3348117172718048,0.18612739443778992,0.6104363799095154,0.29106825590133667,0.2691175639629364,0.1165308877825737,27.183334350585938,27.766666412353516,27.366666793823242,26.600000381469727,20.766666412353516,21.491666793823242,21.03333282470703,20.725000381469727,14.425000190734863,15.27500057220459,14.733333587646484,14.916666984558105,0.08775372254221063,15.199999809265137,15.114999771118164,14.206363677978516,14.998332977294922,15.199999809265137,15.114999771118164,3.241666793823242,3.450000047683716,3.4083333015441895,3.241666793823242,40128.78552,17240.58479,66565.17342,1308,967,963,1067,918,1090,1147,1.9905308485031128,0.0,0.0,0.0,18.586999893188477,19.514999389648438,18.493000030517578,18.42099952697754,18.690000534057617,18.253999710083008,18.084999084472656,18.33500099182129,18.339000701904297,18.233999252319336,19.296998977661133,19.610000610351562,53.875,29.75,21.716371663411458,25.461869303385416,30.3618896484375,35.8745361328125,4326.470703125,4148.24609375,4000.345458984375,3779.841552734375,314.6842041015625,301.72113037109375,290.963623046875,274.92535400390625,12.950833320617676,12.672499656677246,14.423333168029785,14.2524995803833
BU201600000004,BUGE71FL,BU,2016.0,4.0,BU2016DHS,70078.78125,83565.140625,98737.609375,84.92500305175781,89.17500305175781,100.26667022705078,100.46666717529297,24.556625366210938,24.32045555114746,27.78752899169922,29.262136459350586,0.0021091840518549228,0.007181917135707867,0.031588179615739814,30.710400390625,29.378997802734375,29.963497924804688,28.457333374023438,13.375,13.100000381469727,13.25,12.300000190734863,5.0,2902.0,2930.2,3006.8,3086.8,3196.0,3199.6,3150.8,0.0,0.0,0.0,0.0,22.91825613079019,465.95277622767856,10.0,0.0,0.09735794690988955,0.3823939428358246,0.67876670771824,22.87247314453125,22.644332885742188,22.95291748046875,22.206582641601564,2.9783060765071525,294.2687755449591,27.926020733991827,2.2260457800259705,4.121803221325783,0.5538637638092041,0.3457391602652414,0.2587075744356428,0.14650937489100865,0.5850539207458496,0.30646579606192453,0.2015585388456072,0.08887709038598197,28.516666412353516,29.05000114440918,28.71666717529297,27.983333587646484,21.808334350585938,22.475000381469727,22.058334350585938,21.808334350585938,15.141667366027832,15.950000762939453,15.466667175292969,15.683333396911621,0.0,15.942333984375,15.955833435058594,15.0345458984375,15.909666442871094,15.942333984375,15.955833435058594,3.4583334922790527,3.6666667461395264,3.6083333492279053,3.433333396911621,26894.78491,19625.56267,84944.71516,1316.2,1153.1,1156.0,1109.9,920.3,1138.0,1400.6,2.70938251713641,0.0,0.0,1.0,19.649250030517578,20.079500198364258,19.710750579833984,19.759750366210938,19.81475067138672,18.64525032043457,18.662250518798828,19.547500610351562,19.403749465942383,19.96875,21.129749298095703,21.285249710083008,125.36512261580381,23.057220708446867,27.162626846976902,31.847457222316574,37.97635816491169,44.871518342391305,61122.44921875,67441.015625,75246.6875,82788.75,193.92604734332426,213.9732203678474,238.73856863079018,262.66748978201633,12.75333309173584,12.699999809265137,14.149166107177734,14.113332748413086
BU201600000005,BUGE71FL,BU,2016.0,5.0,BU2016DHS,96943.8203125,115600.2265625,136589.125,89.35833740234375,85.36666870117188,102.60833740234375,101.60833740234375,26.54207992553711,23.82325553894043,28.8360652923584,30.032018661499023,0.5765805925641742,0.704573495047433,0.7812352180480957,30.920909881591797,29.81999969482422,30.5049991607666,29.601667404174805,13.125,12.850000381469727,13.058333396911621,11.983333587646484,1.0,2715,2720,2760,2787,2811,2717,2669,0.0,0.0,0.0,0.0,63.666666666666664,324.72491455078125,10,0.0,0.10162460444539087,0.2711663081195328,0.49927792638132595,25.200000762939453,25.156665802001953,25.480833053588867,24.608333587646484,2.5836578369140626,2240.3190104166665,65.33953043619792,1.4730673472086588,3.858631134033203,0.2877644896507263,0.1867949515581131,0.10388237982988358,0.07153422385454178,0.25887608528137207,0.14131711423397064,0.06313414126634598,0.0391555055975914,29.308334350585938,29.891666412353516,29.53333282470703,28.700000762939453,22.725000381469727,23.45833396911621,22.983333587646484,22.666667938232422,16.183334350585938,17.04166603088379,16.475000381469727,16.71666717529297,1.313122979525862,20.456666946411133,19.614999771118164,19.47909164428711,20.49333381652832,20.456666946411133,19.614999771118164,3.366666793823242,3.5833332538604736,3.558333396911621,3.383333444595337,16857.22428,8432.938932,4303.176627,1068.0,952.0,936.0,988.0,844.0,1024.0,1285.0,0.6042592366536458,3.0,3.0,3.0,23.770000457763672,24.29199981689453,23.586000442504883,23.51799964904785,23.625999450683594,23.71500015258789,23.360000610351562,23.704999923706055,23.94300079345703,23.66900062561035,24.534000396728516,24.871000289916992,8.4,0.0,873.1315569196429,1023.7235630580357,1220.734654017857,1442.376953125,52360.55078125,69831.78125,93670.5703125,123110.390625,4063.2322916666667,5419.017708333334,7268.932291666667,9553.491666666667,14.382499694824219,13.908332824707031,15.989166259765625,15.481666564941406
BU201600000006,BUGE71FL,BU,2016.0,6.0,BU2016DHS,54691.8125,65195.3828125,77021.7734375,84.92500305175781,89.17500305175781,100.26667022705078,100.46666717529297,24.556625366210938,24.32045555114746,27.78752899169922,29.262136459350586,0.0006868141661783692,0.006182754495341307,0.023351368630767626,30.58109130859375,29.792999267578125,29.9288330078125,28.97733154296875,13.375,13.100000381469727,13.25,12.300000190734863,5.0,3095.9,3147.2,3215.2,3380.9,3568.5,3540.6,3437.1,0.0,0.0,0.0,0.0,29.684636118598384,639.9706380208333,9.0,4.232329845428467,0.11035304545398428,0.3975991139737574,0.6904902813921184,23.183544921875,23.286749267578124,23.462498474121094,22.9649169921875,2.694030268173012,241.55988881401618,12.902425349561994,2.119842611554498,0.9873417034303403,0.5813788096110026,0.4361108144124349,0.29805355072021483,0.17360200881958007,0.6202046076456705,0.41621507008870445,0.24048970540364584,0.1112979253133138,28.516666412353516,29.05000114440918,28.71666717529297,27.983333587646484,21.808334350585938,22.475000381469727,22.058334350585938,21.808334350585938,15.141667366027832,15.950000762939453,15.466667175292969,15.683333396911621,0.012205431872177642,16.9961669921875,16.952499389648438,15.786000061035157,16.780499267578126,16.9961669921875,16.952499389648438,3.4583334922790527,3.6666667461395264,3.6083333492279053,3.433333396911621,7752.594659,5739.681068,73078.72098,1247.8,1090.8,1167.7,1115.7,964.1,1106.2,1390.3,2.7769100878116575,0.0,0.0,0.0,20.881250381469727,21.32525062561035,20.868499755859375,20.927499771118164,20.980501174926758,19.866249084472656,19.92475128173828,20.85474967956543,20.628250122070312,21.17074966430664,22.20800018310547,22.421001434326172,188.9433962264151,20.18598382749326,21.01048935145548,24.625462863869863,29.35412029109589,34.67860124143836,34745.4765625,46731.23046875,63902.58984375,86431.8359375,109.08872767857143,146.72017141172506,200.63279144204853,271.3675454851752,12.75333309173584,12.699999809265137,14.149166107177734,14.113332748413086
BU201600000007,BUGE71FL,BU,2016.0,7.0,BU2016DHS,108459.75,129332.34375,152814.515625,99.00833129882812,95.01667022705078,118.00833892822266,118.0999984741211,32.55068588256836,29.235897064208984,36.49742126464844,38.61580276489258,0.0003189146045654539,0.0012178238422151596,0.003320169448852539,29.546725463867187,28.160333251953126,28.932501220703124,28.504168701171874,13.200000762939453,12.891666412353516,13.100000381469727,12.033333778381348,1.0,3137.5,3143.4,3178.1,3250.5,3482.4,3609.4,3466.0,0.0,0.0,0.0,0.0,36.36065573770492,324.7249232700893,11.0,0.0,0.03884395759146011,0.30280588499330513,0.5729737852183913,21.89909210205078,21.721249389648438,22.125584411621094,22.012832641601562,6.990261057035519,169.6531975751366,41.79644808743169,12.762549895406421,7.902597229337432,0.49657699040004183,0.29097301619393484,0.21077649933951242,0.1124727555683681,0.5157083783830915,0.24672838619777135,0.15470397472381592,0.0641201479094369,26.016666412353516,26.575000762939453,26.241666793823242,25.391666412353516,19.391666412353516,20.100000381469727,19.65833282470703,19.34166717529297,12.816666603088379,13.683333396911621,13.141666412353516,13.358333587646484,0.0026921980259782177,15.318666076660156,15.521499633789062,14.251455688476563,15.28216552734375,15.318666076660156,15.521499633789062,3.0416667461395264,3.25,3.2333333492279053,3.058333396911621,46752.73009,23901.91517,68192.0041,1485.3,1170.1,1068.2,1150.4,1015.8,1158.8,1347.9,3.1406313369834358,0.0,0.0,0.0,18.881250381469727,19.504249572753906,18.947750091552734,18.928998947143555,19.125751495361328,18.517250061035156,18.422000885009766,18.778499603271484,18.715999603271484,18.570999145507812,19.41925048828125,19.847000122070312,71.31693989071039,20.565573770491802,41.03603114297945,48.11365582191781,57.37291309931507,67.78980094178083,111949.90625,125119.6875,140651.5,154921.5625,355.9897114071038,397.86842554644807,447.2581113387978,492.635587431694,14.94749927520752,14.552499771118164,16.59833335876465,16.016666412353516
BU201600000008,BUGE71FL,BU,2016.0,8.0,BU2016DHS,57120.59375,68113.203125,80480.1484375,97.4000015258789,98.60833740234375,109.95000457763672,113.6500015258789,33.58620834350586,31.55466651916504,35.8532600402832,39.41618347167969,0.001171984180571541,0.0030079485878111824,0.010163215606931656,30.30672607421875,28.830001831054688,29.4969970703125,28.161666870117188,12.90000057220459,12.574999809265137,12.808333396911621,11.708333969116211,1.0,3071.7,3140.9,3171.7,3246.3,3441.8,3478.1,3396.1,0.0,0.004999999888241291,0.0008333332953043282,0.0,30.79891304347826,455.3829752604167,11.0,0.09728569785753886,0.10531101210878736,0.37330110968321123,0.6667548448182398,22.692181396484376,22.401416015625,22.814833068847655,22.196084594726564,14.06741474369891,373.8221219346049,33.25293500936648,2.864806629981267,2.6143519430134536,0.5400726318359375,0.38166700998942055,0.22328755060831706,0.12017512321472168,0.5543259302775065,0.3450659116109212,0.16101392110188803,0.06876559257507324,24.858333587646484,25.475000381469727,25.100000381469727,24.275001525878906,18.383333206176758,19.166667938232422,18.666667938232422,18.391666412353516,11.958333015441895,12.90000057220459,12.291666984558105,12.566666603088379,0.007352159075115038,16.132667541503906,16.230499267578125,15.07763671875,15.972833251953125,16.132667541503906,16.230499267578125,2.9000000953674316,3.125,3.066666841506958,2.883333444595337,26651.23491,14902.98307,57679.48343,1275.2222222222222,1183.2222222222222,1220.2222222222222,1196.4444444444443,1026.6666666666667,1139.0,1419.3333333333333,2.8796330173918596,0.0,0.0,1.0,19.406333923339844,19.618667602539062,19.301666259765625,19.353665669759113,19.47100067138672,18.055333455403645,18.20699946085612,19.354331970214844,19.010332743326824,19.740000406901043,20.72166570027669,20.891334533691406,129.90463215258856,32.583106267029976,21.475808478552278,25.179813170241285,30.025558185321717,35.477133252345844,49013.75,59182.640625,72072.578125,86246.84375,155.55768903269754,187.8315735694823,228.74157016348775,273.72786103542234,15.482500076293945,14.889999389648438,17.09000015258789,16.608333587646484
BU201600000009,BUGE71FL,BU,2016.0,9.0,BU2016DHS,61980.2890625,73908.1171875,87327.21875,89.35833740234375,85.36666870117188,102.60833740234375,101.60833740234375,26.54207992553711,23.82325553894043,28.8360652923584,30.032018661499023,0.10743709972926549,0.318133933203561,0.3879412923540388,28.690000534057617,27.780000686645508,28.145000457763672,27.121665954589844,13.125,12.850000381469727,13.058333396911621,11.983333587646484,1.0,2046,2047,2031,2083,2330,2143,2100,0.0,0.0,0.0,0.0,46.93333333333333,324.72491455078125,10.0,0.0,0.13066931226397216,0.36994691049789097,0.6479690987406632,23.5345458984375,23.375,23.835832595825195,22.835832595825195,1.8341639200846354,120.55777994791667,4.2921875,0.2669280370076497,0.9310654958089193,0.3446264863014221,0.23767250776290894,0.12547731399536133,0.08188466727733612,0.3370709717273712,0.20213203132152557,0.08088158071041107,0.04581548273563385,29.308334350585938,29.891666412353516,29.53333282470703,28.700000762939453,22.725000381469727,23.45833396911621,22.983333587646484,22.666667938232422,16.183334350585938,17.04166603088379,16.475000381469727,16.71666717529297,0.3429522021063443,19.52666664123535,18.549999237060547,18.379091262817383,18.969999313354492,19.52666664123535,18.549999237060547,3.366666793823242,3.5833332538604736,3.558333396911621,3.383333444595337,14473.08559,12444.10274,2001.232214,1247,1119,1136,1204,1017,1247,1606,3.3435094197591146,3.0,3.0,3.0,22.38599967956543,22.729999542236328,22.32900047302246,22.3700008392334,22.40399932861328,21.93600082397461,21.733999252319336,22.29199981689453,22.29800033569336,22.29800033569336,23.062000274658203,23.267000198364258,15.0,0.4,435.2311096191406,510.296875,608.5012817382812,718.9835205078125,22655.96875,29989.19140625,39955.421875,52193.796875,1830.2028645833334,2423.3166666666666,3229.51875,4219.7484375,14.382499694824219,13.908332824707031,15.989166259765625,15.481666564941406
BU201600000010,BUGE71FL,BU,2016.0,10.0,BU2016DHS,158968.921875,187966.296875,220125.671875,92.26667022705078,86.63333129882812,113.86666870117188,113.26667022705078,30.334245681762695,26.58823585510254,35.676239013671875,37.340660095214844,0.0008656848402856623,0.0019453540203254972,0.005140169538726313,29.065817260742186,27.47066650390625,27.51866455078125,27.598834228515624,12.541666984558105,12.266666412353516,12.491666793823242,11.483333587646484,1.0,3488.4,3504.6,3581.2,3488.2,3431.0,3603.5,3521.0,0.0,0.0,0.0,0.0,36.65945945945946,664.1766357421875,11.0,0.37406444549560547,0.1084183368800973,0.3856427499692506,0.6827026124059972,21.74908905029297,21.32233581542969,21.2947509765625,21.391500854492186,11.773649968327703,127.85903716216217,68.2598975929054,19.233707242398648,16.33186233108108,0.34370409647623695,0.21474088033040364,0.1487859090169271,0.08487997849782308,0.30027853647867836,0.15798840522766114,0.09487454096476237,0.04624208609263102,26.416667938232422,27.041667938232422,26.633333206176758,25.78333282470703,20.116666793823242,20.883333206176758,20.358333587646484,20.016666412353516,13.875,14.77500057220459,14.141666412353516,14.300000190734863,0.0019698713912444862,15.070834350585937,15.184165954589844,14.432363891601563,15.174000549316407,15.070834350585937,15.184165954589844,3.0416667461395264,3.258333444595337,3.191666603088379,3.0333333015441895,2759.659936,21937.85344,55745.09023,1321.0,1251.3,1205.0,1093.1,1055.6,1352.6,1308.4,4.292190139358108,0.0,0.0,0.0,18.93399937947591,19.7913335164388,19.145666758219402,19.15466562906901,19.341334025065105,18.96033223470052,18.621999104817707,19.028666178385418,18.787999471028645,18.611666361490887,19.380999247233074,19.869000752766926,128.52972972972972,21.208108108108107,63.633349477762806,74.00666484164421,87.56999663072776,102.63189647911051,152769.4375,170731.421875,193395.5,216321.21875,480.3853040540541,536.8677364864865,608.1363597972972,680.2280827702702,13.988332748413086,13.524166107177734,15.674166679382324,15.180832862854004
