DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
KM201200000001,KMGE61FL,KM,2012.0,1.0,KM2012DHS,134383.875,150101.3125,167471.984375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.012562823462319541,0.012562823462319541,0.013536980102112243,25.702726364135742,25.696247100830078,25.61041831970215,25.742084503173828,-9999,-9999,-9999,-9999,1.0,3567.0,3542.5,3684.0,3793.75,4444.0,4474.0,4459.75,-9999,-9999,-9999,-9999,34.13815789473684,644.0255940755209,8.0,0.16886204481124878,0.4677050910435892,0.43941391534020957,0.38769166296778174,23.017044067382812,23.435832977294922,23.607707977294922,23.661951065063477,1.3195175170898437,39.48933803013393,0.08323591777256557,0.0,0.10444985798427037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.016935168288824125,21.604999542236328,21.581819534301758,20.331363677978516,21.1754150390625,21.604999542236328,21.581819534301758,-9999,-9999,-9999,-9999,1228.18515,138635.6661,573.8754078,2108.25,1986.5,1923.25,1509.75,1194.75,1538.5,1924.5,5.065468962296196,0.0,0.0,0.0,25.27541732788086,22.230417251586914,25.196666717529297,25.44708251953125,25.335416793823242,22.42937469482422,23.262083053588867,25.565834045410156,24.4375,24.79291534423828,23.703332901000977,22.746665954589844,843.9473684210526,56.60283687943262,133.1262474798387,144.11149193548388,157.6551537298387,171.02717993951612,119831.8671875,133895.296875,149555.5625,166863.046875,1060.1622916666668,1184.5825,1323.1305208333333,1476.2511458333333,-9999,-9999,-9999,-9999
KM201200000002,KMGE61FL,KM,2012.0,2.0,KM2012DHS,153892.546875,171891.703125,191784.078125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.011104899935606049,0.011104899935606049,0.0120029594840073,25.574726867675782,25.649664306640624,25.557334899902344,25.679000854492188,-9999,-9999,-9999,-9999,1.0,3500.4,3439.4,3595.8,3712.4,4371.4,4501.6,4443.6,-9999,-9999,-9999,-9999,33.93023255813954,644.0255737304688,8.0,0.16886204481124878,0.46657472797168464,0.43735877418012403,0.38596203568150356,22.8930908203125,23.343167114257813,23.530667114257813,23.57886505126953,1.3248804010496549,37.726772191334355,0.08277480587637498,0.0,0.10094457755059552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.015518304875092103,21.503999328613283,21.478727722167967,20.211454772949217,21.036666870117188,21.503999328613283,21.478727722167967,-9999,-9999,-9999,-9999,1716.371155,141599.6062,1309.192901,2144.0,2029.8,1938.2,1551.6,1192.2,1544.2,1931.2,5.853472990148208,0.0,0.0,0.0,25.27541732788086,22.230417251586914,25.196666717529297,25.44708251953125,25.335416793823242,22.42937469482422,23.262083053588867,25.565834045410156,24.4375,24.79291534423828,23.703332901000977,22.746665954589844,852.1038961038961,64.77300613496932,134.4435147372159,145.5374755859375,159.2151433771307,172.71947132457387,138033.953125,154233.5625,172272.59375,192209.046875,1060.162352071006,1184.5824704142012,1323.1304548816568,1476.2511094674555,-9999,-9999,-9999,-9999
KM201200000003,KMGE61FL,KM,2012.0,3.0,KM2012DHS,9810.2421875,10957.642578125,12225.728515625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.026012301445007324,0.026012301445007324,0.02549179084599018,25.44272804260254,25.553333282470703,25.31166648864746,25.983333587646484,-9999,-9999,-9999,-9999,1.0,3186.0,3060.0,3502.0,3375.0,3779.0,3857.0,3756.0,-9999,-9999,-9999,-9999,32.61538461538461,644.0255737304688,8,-9999,0.47025746262539025,0.4404598883393955,0.38843437249399854,22.898181915283203,23.358333587646484,23.46500015258789,23.82575798034668,1.8239980177445845,105.06147904829545,0.254536281932484,0.0,0.14456681771711868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.007844850128772212,21.61833381652832,21.668182373046875,20.353635787963867,21.163333892822266,21.61833381652832,21.668182373046875,-9999,-9999,-9999,-9999,1682.086844,139914.0209,1027.457099,2105.0,2018.0,1911.0,1549.0,1177.0,1521.0,1873.0,5.525586446126302,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,823.8,15.181818181818182,120.64869181315105,130.60432942708334,142.8785603841146,154.99725341796875,8779.7763671875,9810.1669921875,10957.556640625,12225.6318359375,1060.1624348958333,1184.5826009114583,1323.13037109375,1476.2513020833333,-9999,-9999,-9999,-9999
KM201200000004,KMGE61FL,KM,2012.0,4.0,KM2012DHS,5824.13623046875,6505.3232421875,7258.1591796875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.044183154900868736,0.044183154900868736,0.044867744048436485,25.44272804260254,25.553333282470703,25.31166648864746,25.983333587646484,-9999,-9999,-9999,-9999,1.0,3186.0,3060.0,3502.0,3375.0,3779.0,3857.0,3756.0,-9999,-9999,-9999,-9999,32.8,644.0255737304688,8,-9999,0.47025746262539025,0.4404598883393955,0.38843437249399854,22.898181915283203,23.358333587646484,23.46500015258789,23.82575798034668,1.630616929796007,113.94037543402777,0.28854264153374565,0.0,0.12980467743343777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.026832586526870726,21.61833381652832,21.668182373046875,20.353635787963867,21.163333892822266,21.61833381652832,21.668182373046875,-9999,-9999,-9999,-9999,1086.909305,140913.079,479.8616079,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.719126129150391,3.0,3.0,3.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,818.1666666666666,6.0,117.77134011008523,127.48952414772727,139.47104714133522,151.3007146661932,5518.728515625,6166.4033203125,6887.62158203125,7684.69921875,1060.162353515625,1184.58251953125,1323.13037109375,1476.251220703125,-9999,-9999,-9999,-9999
KM201200000005,KMGE61FL,KM,2012.0,5.0,KM2012DHS,8824.232421875,9856.30859375,10996.94140625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.10738398812033913,0.10738398812033913,0.11030775850469415,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,37.0,644.0255737304688,8,0.33772408962249756,0.4712212141088565,0.4405137608563067,0.38901496979069977,-9999,-9999,-9999,-9999,1.3154712677001954,17.237841796875,0.05186333656311035,0.0,0.07779871225357056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.17721192653362566,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1174.897545,145065.0563,948.5633057,2112.0,2001.0,1946.0,1484.0,1205.0,1575.0,2001.0,6.327208518981934,3.0,3.0,3.0,25.079999923706055,22.065000534057617,24.80375099182129,25.114999771118164,24.993749618530273,22.27750015258789,23.063749313354492,25.252500534057617,24.237499237060547,24.427499771118164,23.358749389648438,22.485000610351562,831.75,7.7,117.7904803936298,127.51027268629808,139.49372746394232,151.32532677283655,7897.33544921875,8824.1630859375,9856.23046875,10996.8544921875,1060.162353515625,1184.58251953125,1323.13037109375,1476.2511393229167,-9999,-9999,-9999,-9999
KM201200000006,KMGE61FL,KM,2012.0,6.0,KM2012DHS,13731.900390625,15337.97265625,17112.98046875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.06339922818270596,0.06339922818270596,0.06913098421963779,24.78818130493164,25.174999237060547,25.043333053588867,25.613332748413086,-9999,-9999,-9999,-9999,1,4439,4468,4599,4419,5129,5190,5230,-9999,-9999,-9999,-9999,32.93333333333333,644.0255737304688,8,0.33772408962249756,0.45961637074213774,0.4295599710302764,0.3788364148723722,22.17818260192871,22.81333351135254,22.894166946411133,23.212575912475586,1.2357340592604418,19.841404841496395,0.05301745579792903,0.0,0.07914880605844352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.15040869939894902,20.7450008392334,20.811819076538086,19.56818199157715,20.4516658782959,20.7450008392334,20.811819076538086,-9999,-9999,-9999,-9999,2424.635571,144847.7677,2170.308227,2112,2001,1946,1484,1205,1575,2001,7.6302325908954325,0.0,0.0,0.0,25.079999923706055,22.065000534057617,24.80375099182129,25.114999771118164,24.993749618530273,22.27750015258789,23.063749313354492,25.252500534057617,24.237499237060547,24.427499771118164,23.358749389648438,22.485000610351562,866.0769230769231,22.153846153846153,134.35165201822917,145.438037109375,159.10634765625,172.60144856770833,11398.12890625,12735.8076171875,14225.376953125,15871.625,1060.162318638393,1184.5824497767858,1323.1304408482142,1476.2513950892858,-9999,-9999,-9999,-9999
KM201200000007,KMGE61FL,KM,2012.0,7.0,KM2012DHS,8300.09765625,9270.87109375,10343.7548828125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.15464285016059875,0.15464285016059875,0.15922710299491882,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,37.27272727272727,644.0255737304688,8,0.33772408962249756,0.4712212141088565,0.4405137608563067,0.38901496979069977,-9999,-9999,-9999,-9999,1.3946224848429363,19.56594509548611,0.06497931480407715,0.0,0.08060304323832194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.2362798055013021,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,895.4852063,143980.6882,624.4348265,2112,2001,1946,1484,1205,1575,2001,5.962092876434326,3.0,3.0,3.0,25.079999923706055,22.065000534057617,24.80375099182129,25.114999771118164,24.993749618530273,22.27750015258789,23.063749313354492,25.252500534057617,24.237499237060547,24.427499771118164,23.358749389648438,22.485000610351562,830.375,5.111111111111111,110.7381258877841,119.87596546519886,131.14195667613637,142.2651700106534,7428.255859375,8300.033203125,9270.798828125,10343.6728515625,1060.1622869318182,1184.5825639204545,1323.1303267045455,1476.2512428977273,-9999,-9999,-9999,-9999
KM201200000008,KMGE61FL,KM,2012.0,8.0,KM2012DHS,10433.90625,11654.248046875,13002.94921875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.11495975255966187,0.11495975255966187,0.11842555999755859,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,35.84615384615385,644.0255737304688,8,0.33772408962249756,0.4712212141088565,0.4405137608563067,0.38901496979069977,-9999,-9999,-9999,-9999,1.2934959585016423,18.650257457386363,0.05779385566711426,0.0,0.08023927428505638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.1708921194076538,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1423.59016,144902.197,1165.999342,2112.0,2001.0,1946.0,1484.0,1205.0,1575.0,2001.0,6.723031616210937,3.0,3.0,3.0,25.079999923706055,22.065000534057617,24.80375099182129,25.114999771118164,24.993749618530273,22.27750015258789,23.063749313354492,25.252500534057617,24.237499237060547,24.427499771118164,23.358749389648438,22.485000610351562,841.7,9.454545454545455,112.96531459263393,122.28695242745536,133.77950613839286,145.12642996651786,9337.9287109375,10433.82421875,11654.15625,13002.84765625,1060.162334735577,1184.5824819711538,1323.1304086538462,1476.251201923077,-9999,-9999,-9999,-9999
KM201200000009,KMGE61FL,KM,2012.0,9.0,KM2012DHS,7828.20703125,8743.7890625,9755.673828125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.08584870741917537,0.08584870741917537,0.08827357108776386,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,37.81818181818182,644.0255737304688,8,0.33772408962249756,0.4712212141088565,0.4405137608563067,0.38901496979069977,-9999,-9999,-9999,-9999,1.3565274344550238,17.54332817925347,0.05226347181532118,0.0,0.07807779974407619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.16113986221014284,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1202.603667,145515.7885,1106.097164,2112.0,2001.0,1946.0,1484.0,1205.0,1575.0,2001.0,6.058347429547991,3.0,3.0,3.0,25.079999923706055,22.065000534057617,24.80375099182129,25.114999771118164,24.993749618530273,22.27750015258789,23.063749313354492,25.252500534057617,24.237499237060547,24.427499771118164,23.358749389648438,22.485000610351562,826.7142857142857,4.888888888888889,110.86287747896634,120.01102388822116,131.2897010216346,142.4254432091346,7005.9326171875,7828.146484375,8743.71875,9755.5966796875,1060.1623757102273,1184.5825639204545,1323.1303267045455,1476.2512428977273,-9999,-9999,-9999,-9999
KM201200000010,KMGE61FL,KM,2012.0,10.0,KM2012DHS,6544.11083984375,7309.5048828125,8155.40625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.1010543704032898,0.1010543704032898,0.10269277095794678,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,38.8,-9999,8,0.33772408962249756,0.4712212141088565,0.4405137608563067,0.38901496979069977,-9999,-9999,-9999,-9999,1.286595344543457,20.605270385742188,0.06475050747394562,0.0,0.07783970236778259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.16257169133140928,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,836.8084828,145860.4045,984.9248122,2112.0,2001.0,1946.0,1484.0,1205.0,1575.0,2001.0,5.664741134643554,3.0,3.0,3.0,25.079999923706055,22.065000534057617,24.80375099182129,25.114999771118164,24.993749618530273,22.27750015258789,23.063749313354492,25.252500534057617,24.237499237060547,24.427499771118164,23.358749389648438,22.485000610351562,820.0,2.375,101.40829467773438,109.77625732421875,120.09306640625,130.279150390625,5856.7177734375,6544.0595703125,7309.447265625,8155.341796875,1060.1623046875,1184.58251953125,1323.13037109375,1476.25126953125,-9999,-9999,-9999,-9999
