DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2000,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Count_2020,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,Aridity_2020,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Day_Land_Surface_Temp_2020,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Diurnal_Temperature_Range_2020,Drought_Episodes,Elevation,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Enhanced_Vegetation_Index_2020,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Frost_Days_2020,Global_Human_Footprint,Growing_Season_Length,Irrigation,ITN_Coverage_2000,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,ITN_Coverage_2020,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Land_Surface_Temperature_2020,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Incidence_2020,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Malaria_Prevalence_2020,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Maximum_Temperature_2020,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Mean_Temperature_2020,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Minimum_Temperature_2020,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,Night_Land_Surface_Temp_2020,PET_2000,PET_2005,PET_2010,PET_2015,PET_2020,Precipitation_2000,Precipitation_2005,Precipitation_2010,Precipitation_2015,Precipitation_2020,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Rainfall_2020,Temperature_January,Temperature_February,Temperature_March,Temperature_April,Temperature_May,Temperature_June,Temperature_July,Temperature_August,Temperature_September,Temperature_October,Temperature_November,Temperature_December,Travel_Times,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,U5_Population_2020,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Count_2020,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,UN_Population_Density_2020,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015,Wet_Days_2020
ET201900000001,ETGE81FL,ET,2019,1,ET2019DHS,10302.88867,12930.62402,14320.85547,17052.81445,18844.85938,12.12721157,11.89226341,10.0576601,9.085170746,12.64050293,32.61674118,33.42062378,32.23381805,32.83382034,32.65677261,14.83420181,14.7162323,14.31367207,14.43936634,14.40112877,7,1946.959961,0.212973118,0.196622565,0.191224828,0.21374844,0.227823272,0.000368924,0.000590278,0,0,0.004869791,49.3668251,5,0,0.016493553,0.011749476,0.117203765,0.212684616,0.144877702,23.68272781,24.33586884,23.64328003,24.38772583,24.01909637,108.4714737,105.7932739,36.13630676,0.033880882,15.2375946,0.028003069,0.00318973,0.018831979,0.001273717,0.004352322,0.000357819,0.001234561,0.007895271,0.000498806,0.00177174,30.09813499,30.36336899,30.63129425,30.72677994,29.80351639,22.65867996,22.98042679,23.44678879,23.48615646,22.57313347,15.26393318,15.64713573,16.31762123,16.28741455,15.40238762,0.256208062,14.74871254,15.25111103,15.05274296,15.94163227,15.38142014,4.79335928,4.709852695,4.700043678,4.81210947,4.722309113,58.13008118,56.01080704,47.27144241,43.71883774,59.69235992,882.0213013,828.8755493,809.2928467,801.5418091,973.3522339,19.3252964,20.62070084,21.60385323,23.31025505,23.02781105,21.63164139,18.38161659,18.39975548,19.82798195,20.24119949,19.53399849,18.67704582,7.4296875,1692.070435,2049.630615,2188.897461,2485.297852,2616.333008,7579.023438,8668.702148,9824.488281,11052.46191,12334.93164,363.2342834,415.4585266,470.8510437,529.7032471,591.1672363,5.103714943,5.26551199,5.25730896,4.260138988,4.843124866
ET201900000002,ETGE81FL,ET,2019,2,ET2019DHS,9698.112305,13280.27637,11767.89258,17255.30859,19536.98633,13.46553612,12.50965118,10.68175507,9.114021301,12.77489471,31.59356117,31.93443298,31.14306641,32.38936234,31.73869514,14.56572628,14.4014616,13.93234921,14.14317131,14.0774889,7,1845.644531,0.180106059,0.169732988,0.162363946,0.168344453,0.185170203,7.96E-05,0,0,0,0.006047453,42.95191193,5,0,0.016735595,0.009433619,0.113007069,0.193597391,0.144154266,23.72580147,23.92683411,23.4249649,24.39335632,24.04482651,58.63524246,49.74988174,57.04963303,0.058159299,7.719167233,0.025812071,0.014121157,0.080821358,0.003945652,0.017346459,0.001608738,0.005491153,0.033312455,0.001517731,0.007890181,28.96300697,29.2142067,29.38790512,29.62189102,28.68725395,21.65710449,21.98780441,22.39856911,22.52426338,21.62495613,14.39728069,14.81274605,15.45555592,15.47871876,14.60976601,0.184719592,15.85804272,15.91923618,15.7068634,16.39735031,16.35095787,4.624508381,4.572670937,4.519502163,4.700694561,4.577329159,62.27148438,57.20251846,48.2762146,42.84223175,58.47489929,798.8740845,778.3339233,848.2415771,682.0537109,915.4440918,19.34652138,19.89638901,21.41100121,22.25792694,22.02561378,22.15945053,19.22406387,18.9983139,19.89863014,20.69681549,19.59922409,18.80877304,111.3496094,2059.455322,2458.817383,2582.617676,2940.15332,3186.903564,7009.533691,8017.333496,9086.273438,10221.97754,11408.08203,335.2776489,383.4823914,434.6115417,488.9341736,545.6674805,5.354095936,5.479835033,5.587463856,4.381695271,5.149804592
ET201900000003,ETGE81FL,ET,2019,3,ET2019DHS,8627.131836,19508.64844,10737.23047,19358.20898,22192.86719,12.46084976,12.06951332,7.837420464,8.463776588,11.0916748,29.82541656,30.52284813,29.44336891,31.00597191,30.39989853,14.29101563,14.13589478,13.63385391,13.91571236,13.80021763,7,2069.749023,0.214390159,0.181306243,0.205072045,0.186312497,0.206699654,0.024275173,0.012365451,0.001944444,0.006532118,0.042717014,47.50446701,5,0.337280095,0.015372445,0.005460686,0.106661953,0.162980199,0.129351243,20.66765213,21.24206543,20.75029564,21.66954994,21.48333549,60.92509842,90.22254944,8.696393967,0.026548354,11.2559576,0.014810291,0.01610272,0.050923135,0.0009501,0.007000976,0.001827608,0.006279962,0.020465562,0.000363842,0.002883278,27.35008812,27.59366417,27.79201508,28.08906364,27.09791756,20.18198776,20.50716209,20.95477486,21.09527016,20.17239571,13.05907154,13.45776939,14.15816021,14.17335033,13.29769993,0.283695549,11.50988674,11.96128464,12.05722237,12.33312511,12.56677246,4.521007061,4.521744728,4.457769394,4.625738144,4.492013931,56.33559036,54.57526016,34.93741226,39.1512146,49.82395935,593.2092285,614.439209,639.3965454,398.1896362,700.748291,16.59578705,17.24872208,18.65598679,19.82726288,20.0199852,20.39717293,18.45433998,17.99505997,17.95593262,17.37614059,16.15900803,15.39375973,25.34960938,2495.290283,3248.971191,3041.464111,2888.650391,3186.182373,5634.099121,6444.145508,7303.334473,8216.186523,9169.549805,269.6798706,308.4532776,349.5789185,393.2731934,438.9065552,5.408072472,5.645160675,5.265928745,4.570577145,5.133215904
ET201900000004,ETGE81FL,ET,2019,4,ET2019DHS,14031.58203,13008.15332,21299.11133,18191.00781,19878.12695,8.151126862,8.761506081,7.930925369,6.746636391,10.27238655,41.64099884,43.25345993,42.4169693,44.1700325,42.48530579,15.41219616,15.39101601,15.05243111,15.08764458,14.97892094,7,590.9980469,0.1759101,0.141881183,0.166014522,0.13425602,0.175646588,0,0,0,0,0,43.0072403,4,0,0.035591424,0.01676487,0.201546684,0.325081319,0.274232626,32.00028229,32.94259644,32.80038452,34.07825089,32.63169098,38.6730423,26.58096504,14.74630928,0.025517944,12.02985191,0.0295518,0.381450713,0.30333212,0.004450788,0.014126762,0.067636065,0.211588159,0.160153151,0.001742593,0.005786487,37.07980347,37.53734207,37.79498291,37.75449753,36.66270447,29.35021782,29.82313347,30.24644279,30.17685127,29.15503502,21.66760826,22.14632607,22.7425499,22.66685486,21.68378258,0.414074868,22.35956955,22.63172913,23.18379593,23.98646927,22.77807236,5.365668297,5.313773155,5.280454636,5.413049698,5.22430563,43.7362442,46.55665588,41.87889099,36.51987839,53.6660881,629.7836914,611.4922485,704.7762451,483.3526001,641.0727539,26.3533535,27.97684669,29.87928772,31.20114899,31.05991745,29.69472694,26.67553902,26.28328323,26.81704712,28.22745705,28.64364433,27.48906517,125.046875,1728.734253,1993.849976,2413.634521,2497.486328,2625.554199,13894.91699,15892.66699,18011.61328,20262.9082,22614.10938,666.4213867,762.2365112,863.8644409,971.8399658,1084.607178,3.806125402,3.715720415,3.656375885,3.259159327,3.780445576
ET201900000005,ETGE81FL,ET,2019,5,ET2019DHS,30920.59961,32001.23633,43132.95313,40889.87109,44794.5,14.28176689,13.15107346,9.295166016,9.274795532,12.69028854,33.37151718,33.15277863,32.25086594,34.3055191,32.15304947,14.40130234,14.25755215,13.71202278,14.01523399,13.87812519,7,2114.577148,0.180772737,0.174199134,0.178858683,0.150741845,0.177522004,0.00343316,0.001145833,0,0.000143229,0.017065972,50.5520668,5,2.627037287,0.013109786,0.006119524,0.100706033,0.160400882,0.123900563,22.91640091,23.15623283,22.71723938,24.11262131,22.85318947,71.76585388,60.27671432,9.145376205,0.092664011,4.449748993,0.019199964,0.046314768,0.051089548,0.000354754,0.003919801,0.005631013,0.018661579,0.020685434,0.000135718,0.001625131,27.7864151,28.02118111,28.16319466,28.47743034,27.50473213,20.56054688,20.86861992,21.28776169,21.43906403,20.54301262,13.38511276,13.76362801,14.45117188,14.46219635,13.62660599,3.96239543,12.4612875,13.15968704,13.18361092,13.91972256,13.55332851,4.492838383,4.485547066,4.422830105,4.594965458,4.467360973,64.1656723,58.98975754,41.11093521,42.61736298,56.69210052,645.5018921,676.6669922,779.105835,484.1679382,800.5380859,17.42512894,17.87077713,19.42775536,20.3689537,20.67466545,21.6989994,19.01898575,18.43042374,18.52318001,18.59533882,17.3092556,16.52888107,6.885742188,3710.546631,4539.274414,5017.723145,5358.432129,5637.192871,9669.575195,11059.8252,12534.41602,14101.10742,15737.32617,462.1873779,528.6386719,599.1213379,674.0062256,752.2143555,5.59678793,5.702512741,5.421918392,4.663272381,5.312157154
ET201900000006,ETGE81FL,ET,2019,6,ET2019DHS,566.675293,614.7557983,674.1130371,918.8927612,1052.047852,10.90214539,11.28592682,9.310182571,8.56441021,11.71873283,35.61507416,35.13645935,34.91989517,36.45402527,35.80607224,14.87074661,14.74704838,14.37165833,14.49401093,14.46297741,7,1398.667969,0.248333514,0.210081249,0.208438352,0.197117716,0.223008335,0.000412326,0.000898437,0,0,0.00657118,28.06738472,5,0,0.020406876,0.014422297,0.130725935,0.218800858,0.148349509,27.35030365,26.99873352,27.09765625,28.240242,27.66225433,45.19100571,53.60330582,35.12726212,0.017491955,6.716176987,0.039734941,0.199166849,0.376241058,0.02877439,0.078265347,0.027318567,0.088941962,0.200754881,0.011354193,0.036044937,30.01931572,30.26041794,30.58194542,30.62842941,29.7265625,22.55642319,22.86215401,23.36423683,23.3615036,22.46293449,15.14856815,15.51336861,16.21028709,16.13441849,15.26358509,0,19.08552933,18.86100769,19.27541733,20.02645874,19.51843834,4.836805344,4.742882252,4.745182514,4.849349022,4.774869919,52.73155594,53.52782059,44.17851639,41.53181458,55.95542526,804.0866699,741.6065674,716.1497192,759.2109985,875.0478516,20.33378029,21.83280945,23.22746277,24.75917816,25.33223915,25.07258987,20.82984734,21.04449463,22.28959656,22.48769379,21.18451118,20.0327549,251.0244141,117.9223251,124.7964096,133.4351349,172.462265,189.1318207,1183.849243,1354.057861,1534.592529,1726.403076,1926.72583,56.80028534,64.96678162,73.62870789,82.83164978,92.44300079,4.917994499,5.168971062,5.131388664,4.182851791,4.701163292
ET201900000007,ETGE81FL,ET,2019,7,ET2019DHS,1741.571045,1890.920166,2189.550781,2078.894531,2223.075928,13.02908897,12.22829151,10.56538391,9.274313927,13.1325531,33.16522598,33.47648239,32.54953766,33.50416565,33.87243271,14.74322891,14.61565399,14.18375301,14.32889175,14.28642941,7,1726.704102,0.214511111,0.202318519,0.191954508,0.199848309,0.214075491,0.000397859,0.000636574,0,0,0.005251736,44.6112709,5,0,0.016315892,0.012078281,0.120224267,0.213804677,0.15170972,25.27534103,25.67497635,25.29175377,26.09768486,26.12508774,68.22341919,75.5406189,45.12902451,0.094994664,13.68689823,0.035668246,0.013847061,0.208450541,0.03837911,0.102739513,0.001580264,0.005357795,0.095341094,0.01524459,0.047882956,30.0530529,30.33397102,30.54755592,30.71896744,29.75449944,22.66192055,23.0006218,23.4337101,23.52926826,22.58777618,15.30982399,15.71831703,16.36380196,16.39007568,15.46807003,0,17.38545418,17.87347221,18.03396988,18.69120407,18.37774467,4.737746239,4.6614151,4.636212349,4.777329445,4.658535957,61.72851944,57.00114441,48.98336411,44.3064537,61.17847061,892.8419189,893.3427734,916.0428467,806.2149658,963.6478271,21.03310394,22.42922592,23.80190849,25.25282097,25.30371475,23.67064476,19.95084572,20.1293335,21.46393013,22.33330536,21.31482315,20.3640995,122.1884766,290.1670532,335.480835,323.3200989,339.8377075,347.2530518,2239.13623,2561.06958,2902.533447,3265.324463,3644.215576,107.1969376,122.6092529,138.9565735,156.3249207,174.464035,5.197002411,5.308324337,5.361776352,4.285462856,4.95293951
ET201900000008,ETGE81FL,ET,2019,8,ET2019DHS,377.6514893,437.0046387,496.6611633,711.059082,826.7515259,11.67120075,11.2011013,9.718667984,8.712070465,12.43144417,35.88507843,37.08248901,36.29284668,36.86320496,37.01258087,14.90033245,14.80905724,14.39864063,14.50797176,14.44134903,7,1182.814453,0.23333098,0.209113941,0.209936276,0.224519774,0.228084475,0,0,0,0,0,32.00434494,5,0,0.02380565,0.01390403,0.156775951,0.268809646,0.179348052,27.86733437,28.76309586,28.45211792,29.18732071,28.82452202,69.0674057,38.48537827,69.56627655,0.025932658,4.397882938,0.046334516,0.337471545,0.452039242,0.025769653,0.072129183,0.05379514,0.17241767,0.264209181,0.010139489,0.032342535,32.38365173,32.68123627,32.93778992,33.0287323,32.0438385,24.90688705,25.25170708,25.71416473,25.75027466,24.79660034,17.48332024,17.87217903,18.53915024,18.52076149,17.60248947,0,19.84959602,20.44370461,20.61138916,21.51143456,20.63646317,4.933073044,4.845920086,4.838961124,4.960778236,4.831423759,57.57488632,54.27964401,47.02825546,43.218647,60.06157303,1107.264893,1008.055237,1112.112183,927.8959351,1143.053101,24.35683632,26.5521946,27.62882042,28.95191002,28.29026413,28.22060013,24.77178955,24.04784966,24.49848175,25.0391407,24.22938919,23.62774658,246.7578125,72.86314392,87.48196411,92.84979248,131.6277313,146.6523438,1068.239136,1221.825928,1384.730225,1557.809326,1738.569336,51.1687851,58.52561188,66.32874298,74.61925507,83.27767944,4.749847889,4.644762516,4.681482792,4.178062439,4.46821022
ET201900000009,ETGE81FL,ET,2019,9,ET2019DHS,424.88974,871.7975464,892.7328491,1069.300659,1298.330566,15.01730156,13.36936378,12.1537838,10.55352974,15.0784502,36.13932037,37.02593994,36.37930679,37.14454651,37.31576538,14.80238724,14.70108509,14.25755215,14.37743092,14.30711842,7,1224.831055,0.237029925,0.217850342,0.221178129,0.206519097,0.2235329,0.015407986,0.010199653,0.000651042,0.004231771,0.021375868,33.13703918,5,0,0.021990158,0.015740089,0.156002268,0.270394713,0.190258041,27.94329643,28.58626747,28.26756859,29.41541862,28.96741486,42.27470398,36.45493317,42.52311325,0.018402707,2.295835018,0.055255938,0.211978331,0.423588097,0.044271465,0.109831475,0.030290529,0.096020997,0.239829302,0.017743582,0.051601686,30.78737068,31.09127808,31.29179764,31.45607567,30.44995689,23.36137199,23.71779442,24.14331627,24.24058151,23.27035713,15.98498344,16.39019203,17.03424454,17.07864571,16.14283943,0,19.74727249,20.14659691,20.1558342,21.68628693,20.61906433,4.725955009,4.65585947,4.630295277,4.757031441,4.641710281,70.97109985,62.24588013,56.27560806,50.20347214,69.9897995,1182.878296,1104.917603,1135.772949,1001.064392,1206.798218,24.32988739,26.49333763,27.42251968,28.47641563,27.83513451,28.01695251,23.82998276,23.76351166,24.11058807,24.541996,23.36881828,22.98137474,77.00292969,90.98075867,176.3686066,202.7399292,200.2076111,233.1194305,953.9735107,1091.131714,1236.610718,1391.176147,1552.600952,45.6301384,52.19064331,59.14914322,66.54226685,74.26348114,5.365920067,5.285368443,5.365260124,4.798454762,5.067070007
ET201900000010,ETGE81FL,ET,2019,10,ET2019DHS,4818.627441,5247.900879,6318.855957,6417.630371,7290.135742,12.20107841,12.55498981,10.65317631,9.345745087,11.76894855,32.75564575,33.19795227,32.38656235,33.81218719,33.22305679,14.6629343,14.50429726,14.08940983,14.2889328,14.2463541,7,1993.177734,0.181371406,0.161619097,0.167520136,0.159736797,0.180889815,0.256835938,0.16857639,0.036944441,0.119461797,0.270681411,41.94864655,5,0.034953788,0.016222533,0.006312243,0.11299286,0.175284818,0.126545116,23.95462036,24.42576408,23.78071213,25.07652664,24.5182476,54.03941727,73.81130981,37.94958878,0.053415578,6.006594658,0.015668234,0.045859311,0.078837559,0.001007493,0.007391453,0.005398445,0.018420931,0.032443434,0.000385802,0.003008358,25.76098061,26.04917717,26.29717827,26.49952316,25.56605911,18.41810036,18.76788139,19.23593712,19.33954048,18.40937614,11.09804726,11.54487896,12.20776939,12.21059036,11.31970501,0,15.15359879,15.65357685,15.17486095,16.340868,15.81343937,4.4348526,4.402300358,4.372395992,4.479297161,4.467404366,54.10998535,55.27083588,46.57990265,41.86236954,52.57665253,613.1245728,578.1860962,578.3120728,451.8966064,681.3933105,17.83288193,18.69639397,20.02653313,21.05943298,21.05540657,21.3633709,18.36375809,18.42102051,19.4124794,19.41087151,17.93228722,17.35751152,38.58007813,809.3442993,940.9978027,1047.722168,1059.863525,1151.455811,2553.35376,2920.463867,3309.844971,3723.546631,4155.607422,122.5081863,140.1218719,158.8041229,178.653244,199.3832245,5.443359375,5.993871212,6.112573624,4.665286541,5.379014492
