DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2000,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Count_2020,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,Aridity_2020,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Day_Land_Surface_Temp_2020,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Diurnal_Temperature_Range_2020,Drought_Episodes,Elevation,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Enhanced_Vegetation_Index_2020,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Frost_Days_2020,Global_Human_Footprint,Growing_Season_Length,Irrigation,ITN_Coverage_2000,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,ITN_Coverage_2020,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Land_Surface_Temperature_2020,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Incidence_2020,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Malaria_Prevalence_2020,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Maximum_Temperature_2020,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Mean_Temperature_2020,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Minimum_Temperature_2020,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,Night_Land_Surface_Temp_2020,PET_2000,PET_2005,PET_2010,PET_2015,PET_2020,Precipitation_2000,Precipitation_2005,Precipitation_2010,Precipitation_2015,Precipitation_2020,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Rainfall_2020,Temperature_January,Temperature_February,Temperature_March,Temperature_April,Temperature_May,Temperature_June,Temperature_July,Temperature_August,Temperature_September,Temperature_October,Temperature_November,Temperature_December,Travel_Times,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,U5_Population_2020,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Count_2020,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,UN_Population_Density_2020,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015,Wet_Days_2020
MD202100000001,MDGE81FL,MD,2021,1,MD2021DHS,113003.6797,117664.5078,166211.3125,172964.8281,214393.6406,43.00530243,41.7987442,33.04548264,36.64153671,40.98447418,27.14246178,26.05230331,27.45536995,27.53208351,27.73924446,9.328747749,9.328747749,9.328747749,9.328747749,9.328747749,NA,1262.65918,0.20482038,0.204547048,0.206464693,0.193382293,0.194104522,0.001893808,0.002116609,0.000222801,0,0.000222801,74.70248413,11,20.88083076,0.025032207,0.074300624,0.219348669,0.342323154,0.501404703,19.49847603,20.21348381,21.05707741,21.32089043,21.15691948,16.83989525,1450.927246,0,13.31865692,1.492435694,0.027327936,0.095140234,0.049897756,0.05076379,0.065759435,0.013037386,0.054689113,0.025108103,0.025840424,0.035975084,23.01166153,23.33722496,23.75645256,23.66736031,23.50881195,18.32128334,18.64684677,19.06607437,18.97698212,18.81843185,13.68291378,14.00847816,14.42770576,14.33861446,14.1800642,9.411819458,11.85448837,14.37466431,14.65878487,15.10969925,14.5745945,2.880193949,2.921643496,3.007407427,3.010662556,3.0174191,123.8636169,122.1210175,99.38123322,110.3153076,123.6673355,1325.979492,1459.376343,1217.301147,1528.913086,1215.790649,21.49449348,21.54211044,21.13406181,20.09326172,18.05062866,15.97623253,15.07626152,15.48406506,16.79123497,18.97618866,20.65598297,21.17601013,0,13764.7959,15888.9502,18075.16797,20669.96289,24746.51563,104707,127438.3203,152299.5,179716.7188,209462.5625,5177.40918,6301.396484,7530.698242,8886.387695,10357.21973,12.66604137,12.72661686,9.703125954,9.650200844,14.03522873
MD202100000002,MDGE81FL,MD,2021,2,MD2021DHS,113003.6797,117664.5078,166211.3125,172964.8281,214393.6406,43.00530243,41.7987442,33.04548264,36.64153671,40.98447418,27.14246178,26.05230331,27.45536995,27.53208351,27.73924446,9.328747749,9.328747749,9.328747749,9.328747749,9.328747749,NA,1262.65918,0.20482038,0.204547048,0.206464693,0.193382293,0.194104522,0.001893808,0.002116609,0.000222801,0,0.000222801,74.70248413,11,20.88083076,0.025032207,0.074300624,0.219348669,0.342323154,0.501404703,19.49847603,20.21348381,21.05707741,21.32089043,21.15691948,16.83989525,1450.927246,0,13.31865692,1.492435694,0.027327936,0.095140234,0.049897756,0.05076379,0.065759435,0.013037386,0.054689113,0.025108103,0.025840424,0.035975084,23.01166153,23.33722496,23.75645256,23.66736031,23.50881195,18.32128334,18.64684677,19.06607437,18.97698212,18.81843185,13.68291378,14.00847816,14.42770576,14.33861446,14.1800642,9.411819458,11.85448837,14.37466431,14.65878487,15.10969925,14.5745945,2.880193949,2.921643496,3.007407427,3.010662556,3.0174191,123.8636169,122.1210175,99.38123322,110.3153076,123.6673355,1325.979492,1459.376343,1217.301147,1528.913086,1215.790649,21.49449348,21.54211044,21.13406181,20.09326172,18.05062866,15.97623253,15.07626152,15.48406506,16.79123497,18.97618866,20.65598297,21.17601013,0,13764.7959,15888.9502,18075.16797,20669.96289,24746.51563,104707,127438.3203,152299.5,179716.7188,209462.5625,5177.40918,6301.396484,7530.698242,8886.387695,10357.21973,12.66604137,12.72661686,9.703125954,9.650200844,14.03522873
MD202100000003,MDGE81FL,MD,2021,3,MD2021DHS,113003.6797,117664.5078,166211.3125,172964.8281,214393.6406,43.00530243,41.7987442,33.04548264,36.64153671,40.98447418,27.14246178,26.05230331,27.45536995,27.53208351,27.73924446,9.328747749,9.328747749,9.328747749,9.328747749,9.328747749,NA,1262.65918,0.20482038,0.204547048,0.206464693,0.193382293,0.194104522,0.001893808,0.002116609,0.000222801,0,0.000222801,74.70248413,11,20.88083076,0.025032207,0.074300624,0.219348669,0.342323154,0.501404703,19.49847603,20.21348381,21.05707741,21.32089043,21.15691948,16.83989525,1450.927246,0,13.31865692,1.492435694,0.027327936,0.095140234,0.049897756,0.05076379,0.065759435,0.013037386,0.054689113,0.025108103,0.025840424,0.035975084,23.01166153,23.33722496,23.75645256,23.66736031,23.50881195,18.32128334,18.64684677,19.06607437,18.97698212,18.81843185,13.68291378,14.00847816,14.42770576,14.33861446,14.1800642,9.411819458,11.85448837,14.37466431,14.65878487,15.10969925,14.5745945,2.880193949,2.921643496,3.007407427,3.010662556,3.0174191,123.8636169,122.1210175,99.38123322,110.3153076,123.6673355,1325.979492,1459.376343,1217.301147,1528.913086,1215.790649,21.49449348,21.54211044,21.13406181,20.09326172,18.05062866,15.97623253,15.07626152,15.48406506,16.79123497,18.97618866,20.65598297,21.17601013,0,13764.7959,15888.9502,18075.16797,20669.96289,24746.51563,104707,127438.3203,152299.5,179716.7188,209462.5625,5177.40918,6301.396484,7530.698242,8886.387695,10357.21973,12.66604137,12.72661686,9.703125954,9.650200844,14.03522873
MD202100000004,MDGE81FL,MD,2021,4,MD2021DHS,113003.6797,117664.5078,166211.3125,172964.8281,214393.6406,43.00530243,41.7987442,33.04548264,36.64153671,40.98447418,27.14246178,26.05230331,27.45536995,27.53208351,27.73924446,9.328747749,9.328747749,9.328747749,9.328747749,9.328747749,NA,1262.65918,0.20482038,0.204547048,0.206464693,0.193382293,0.194104522,0.001893808,0.002116609,0.000222801,0,0.000222801,74.70248413,11,20.88083076,0.025032207,0.074300624,0.219348669,0.342323154,0.501404703,19.49847603,20.21348381,21.05707741,21.32089043,21.15691948,16.83989525,1450.927246,0,13.31865692,1.492435694,0.027327936,0.095140234,0.049897756,0.05076379,0.065759435,0.013037386,0.054689113,0.025108103,0.025840424,0.035975084,23.01166153,23.33722496,23.75645256,23.66736031,23.50881195,18.32128334,18.64684677,19.06607437,18.97698212,18.81843185,13.68291378,14.00847816,14.42770576,14.33861446,14.1800642,9.411819458,11.85448837,14.37466431,14.65878487,15.10969925,14.5745945,2.880193949,2.921643496,3.007407427,3.010662556,3.0174191,123.8636169,122.1210175,99.38123322,110.3153076,123.6673355,1325.979492,1459.376343,1217.301147,1528.913086,1215.790649,21.49449348,21.54211044,21.13406181,20.09326172,18.05062866,15.97623253,15.07626152,15.48406506,16.79123497,18.97618866,20.65598297,21.17601013,0,13764.7959,15888.9502,18075.16797,20669.96289,24746.51563,104707,127438.3203,152299.5,179716.7188,209462.5625,5177.40918,6301.396484,7530.698242,8886.387695,10357.21973,12.66604137,12.72661686,9.703125954,9.650200844,14.03522873
MD202100000005,MDGE81FL,MD,2021,5,MD2021DHS,77696.53906,80860.92969,117109.7031,133072.3438,171095.5313,43.18117142,41.93682098,33.10645676,36.77080917,41.13763428,27.49117279,26.22975731,27.88170052,27.89211845,28.14843178,9.271484375,9.271484375,9.271484375,9.271484375,9.271484375,NA,1259.02832,0.198311746,0.208149299,0.201182812,0.176738888,0.184478566,0.002434896,0.002721354,0.000286458,0,0.000286458,73.14851379,11,24.28927422,0.024139997,0.071090609,0.18064253,0.318446577,0.491096199,20.1108799,20.10237885,21.15954781,21.20213509,21.23595238,17.49638176,954.826355,1.058623791,9.957759857,0.907867432,0.027743768,0.094188206,0.050255544,0.051051155,0.065090396,0.01324588,0.053681787,0.02528717,0.026001295,0.035544723,22.8853302,23.20698929,23.62803841,23.53819466,23.37521744,18.22339439,18.54505157,18.9661026,18.87625885,18.71328163,13.61384583,13.93550396,14.35655403,14.26671028,14.10373306,7.920796394,12.73058319,13.97499943,14.43739605,14.51215267,14.32347393,2.870963573,2.912152767,2.998611212,2.999522686,3.0078125,123.9715729,122.1264343,99.27339172,110.2948837,123.7342911,1271.54187,1404.062866,1188.980713,1525.356323,1195.675415,21.48211861,21.52585983,21.06581116,20.05988693,18.00750351,15.9567318,15.08338642,15.44519043,16.79523468,19.03856277,20.65410805,21.21776009,0.01953125,9249.320313,10919.14063,13106.9209,15902.65625,19748.80469,69564.78125,88832.29688,112283.2266,141312.7344,177130.2344,3422.387207,4370.293457,5524.011719,6952.180176,8714.297852,12.7138195,12.77898407,9.722590446,9.687044144,14.0769701
MD202100000006,MDGE81FL,MD,2021,6,MD2021DHS,113003.6797,117664.5078,166211.3125,172964.8281,214393.6406,43.00530243,41.7987442,33.04548264,36.64153671,40.98447418,27.14246178,26.05230331,27.45536995,27.53208351,27.73924446,9.328747749,9.328747749,9.328747749,9.328747749,9.328747749,NA,1262.65918,0.20482038,0.204547048,0.206464693,0.193382293,0.194104522,0.001893808,0.002116609,0.000222801,0,0.000222801,74.70248413,11,20.88083076,0.025032207,0.074300624,0.219348669,0.342323154,0.501404703,19.49847603,20.21348381,21.05707741,21.32089043,21.15691948,16.83989525,1450.927246,0,13.31865692,1.492435694,0.027327936,0.095140234,0.049897756,0.05076379,0.065759435,0.013037386,0.054689113,0.025108103,0.025840424,0.035975084,23.01166153,23.33722496,23.75645256,23.66736031,23.50881195,18.32128334,18.64684677,19.06607437,18.97698212,18.81843185,13.68291378,14.00847816,14.42770576,14.33861446,14.1800642,9.411819458,11.85448837,14.37466431,14.65878487,15.10969925,14.5745945,2.880193949,2.921643496,3.007407427,3.010662556,3.0174191,123.8636169,122.1210175,99.38123322,110.3153076,123.6673355,1325.979492,1459.376343,1217.301147,1528.913086,1215.790649,21.49449348,21.54211044,21.13406181,20.09326172,18.05062866,15.97623253,15.07626152,15.48406506,16.79123497,18.97618866,20.65598297,21.17601013,0,13764.7959,15888.9502,18075.16797,20669.96289,24746.51563,104707,127438.3203,152299.5,179716.7188,209462.5625,5177.40918,6301.396484,7530.698242,8886.387695,10357.21973,12.66604137,12.72661686,9.703125954,9.650200844,14.03522873
MD202100000007,MDGE81FL,MD,2021,7,MD2021DHS,113003.6797,117664.5078,166211.3125,172964.8281,214393.6406,43.00530243,41.7987442,33.04548264,36.64153671,40.98447418,27.14246178,26.05230331,27.45536995,27.53208351,27.73924446,9.328747749,9.328747749,9.328747749,9.328747749,9.328747749,NA,1262.65918,0.20482038,0.204547048,0.206464693,0.193382293,0.194104522,0.001893808,0.002116609,0.000222801,0,0.000222801,74.70248413,11,20.88083076,0.025032207,0.074300624,0.219348669,0.342323154,0.501404703,19.49847603,20.21348381,21.05707741,21.32089043,21.15691948,16.83989525,1450.927246,0,13.31865692,1.492435694,0.027327936,0.095140234,0.049897756,0.05076379,0.065759435,0.013037386,0.054689113,0.025108103,0.025840424,0.035975084,23.01166153,23.33722496,23.75645256,23.66736031,23.50881195,18.32128334,18.64684677,19.06607437,18.97698212,18.81843185,13.68291378,14.00847816,14.42770576,14.33861446,14.1800642,9.411819458,11.85448837,14.37466431,14.65878487,15.10969925,14.5745945,2.880193949,2.921643496,3.007407427,3.010662556,3.0174191,123.8636169,122.1210175,99.38123322,110.3153076,123.6673355,1325.979492,1459.376343,1217.301147,1528.913086,1215.790649,21.49449348,21.54211044,21.13406181,20.09326172,18.05062866,15.97623253,15.07626152,15.48406506,16.79123497,18.97618866,20.65598297,21.17601013,0,13764.7959,15888.9502,18075.16797,20669.96289,24746.51563,104707,127438.3203,152299.5,179716.7188,209462.5625,5177.40918,6301.396484,7530.698242,8886.387695,10357.21973,12.66604137,12.72661686,9.703125954,9.650200844,14.03522873
MD202100000008,MDGE81FL,MD,2021,8,MD2021DHS,77696.53906,80860.92969,117109.7031,133072.3438,171095.5313,42.52030563,41.24067307,32.6228447,36.29195404,40.52518082,27.7029171,26.43149376,27.88204956,27.7132988,28.01613998,9.323307991,9.323307991,9.323307991,9.323307991,9.323307037,5,1257.25293,0.210997343,0.206934035,0.212865114,0.177190274,0.197570235,0.002877604,0.003216146,0.000338542,0,0.000338542,54.51683807,9,27.880867,0.023174051,0.069533117,0.166930586,0.293334126,0.484337151,20.2321682,20.45116234,21.31545067,21.33390617,21.18925095,40.91336441,1100.411865,0,19.35278893,2.248137236,0.034333918,0.107686974,0.05804722,0.059364971,0.075255997,0.016596245,0.063161567,0.029556051,0.030597238,0.042113706,22.92092133,23.23988724,23.65946198,23.56805611,23.40707588,18.23389816,18.55286407,18.97243881,18.88103294,18.72005272,13.59761333,13.9165802,14.33615494,14.24474812,14.08376789,2.530702591,12.76141644,14.47083282,14.74885368,14.95451355,14.36236095,2.877994776,2.917013884,3.003472328,3.005685806,3.013020754,122.3732224,120.2996063,97.98181152,109.0822067,122.1032104,1284.458618,1419.688721,1218.773071,1546.396606,1210.538208,21.56146622,21.60679626,21.21911049,20.17179489,18.09462547,16.01281929,15.19290638,15.6659441,17.16023064,19.28516388,20.78925514,21.34051514,0.987304688,9249.320313,10919.14063,13106.9209,15902.65625,19748.80469,14437.08008,21972.63477,32727.07031,47934.15234,69000.125,709.4578247,1079.765259,1608.25293,2355.549805,3390.760254,12.61784744,12.65309906,9.615428925,9.57264328,13.94219589
MD202100000009,MDGE81FL,MD,2021,9,MD2021DHS,138371.6875,138949.2031,177570.2031,184235.4531,215322.7656,43.66981888,42.50227737,33.53190613,37.13022995,41.60813522,27.16632462,25.62965202,27.2110405,27.07052231,27.48225975,9.275477409,9.275477409,9.275477409,9.275477409,9.275477409,NA,1290.056641,0.220838621,0.228033319,0.231605202,0.216030374,0.214799389,0.001549479,0.001731771,0.000182292,0,0.000182292,71.91634369,11,15.24034977,0.02291055,0.067714296,0.205564499,0.338231057,0.474498749,19.62509346,19.57128525,20.60091972,20.68343735,20.73685837,27.24522781,410.127533,0,25.33580399,2.004915714,0.026435524,0.093858749,0.048750706,0.046915527,0.061518751,0.01257899,0.05355534,0.024489863,0.023732819,0.033255465,22.96901131,23.29743958,23.71796989,23.63055611,23.46983528,18.30447197,18.63290024,19.05342865,18.96601677,18.80529594,13.69353294,14.02196217,14.44249153,14.3550787,14.19435787,4.605951786,12.0838604,13.51291656,13.99079895,14.29635429,13.99145603,2.872873306,2.91631937,3.002083302,3.003862858,3.011979103,125.4578552,123.9502182,100.6655807,111.5341187,125.3228302,1310.294922,1481.582764,1221.958374,1535.623901,1220.50708,21.30004692,21.30967522,20.87158966,19.87135315,17.85707855,15.8574791,14.8447752,15.10362816,16.46809959,18.69841003,20.42318344,20.95696831,0.418945313,17101.22656,18763.15039,20138.25391,22016.8457,24853.75781,109847.8281,132790.9219,157243.0469,183292.1875,210231.6406,5396.726563,6523.900879,7725.211914,9004.983398,10328.49512,12.76312542,12.85415745,9.810177803,9.766401291,14.17096329
MD202100000010,MDGE81FL,MD,2021,10,MD2021DHS,49263.125,49728.96484,75389.19531,88075.46094,118041.0859,43.84528351,42.63529968,33.59164047,37.25164413,41.75220871,26.96136284,25.37645912,27.18572998,27.05125046,27.37947845,9.219661713,9.219661713,9.219661713,9.219661713,9.219661713,NA,1262.890625,0.227319315,0.225853637,0.23131457,0.206659377,0.21136333,0.001992187,0.002226562,0.000234375,0,0.000234375,68.67168427,11,20.4624157,0.024281539,0.069599375,0.181776583,0.332747787,0.479557991,19.58811951,19.38843727,20.56114578,20.57395935,20.62281036,21.84188652,281.5496521,2.680220366,9.470144272,2.406040668,0.030903259,0.103511117,0.055394098,0.052898139,0.067736931,0.014831211,0.059844069,0.028074073,0.027004041,0.03717798,22.84974098,23.17408943,23.59661484,23.50833321,23.34335899,18.21289063,18.53723907,18.95976639,18.87148476,18.70651054,13.63007832,13.95442772,14.37695408,14.28867245,14.12369823,3.066450834,12.21487522,13.40041637,13.93656254,14.09666634,13.86614227,2.863932371,2.907291651,2.993750095,2.993359327,3.002604246,125.5699234,123.9532547,100.5649719,111.5075531,125.3653641,1274.936035,1443.558716,1209.997559,1532.062256,1209.460571,21.33442116,21.35905075,20.85871506,19.88910294,17.8547039,15.86085415,14.88252544,15.10687828,16.41009903,18.70541,20.40393257,21.011343,1.278320313,5628.095215,6715.202637,8509.609375,10525.35645,13624.96289,36882.1875,48639.67969,63257.32031,81524.22656,104053.8125,1841.413696,2428.428955,3158.242676,4070.25293,5195.085449,12.80979156,12.90487003,9.829751968,9.801445007,14.21174431
