DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2000,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Count_2020,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,Aridity_2020,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Day_Land_Surface_Temp_2020,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Diurnal_Temperature_Range_2020,Drought_Episodes,Elevation,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Enhanced_Vegetation_Index_2020,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Frost_Days_2020,Global_Human_Footprint,Growing_Season_Length,Irrigation,ITN_Coverage_2000,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,ITN_Coverage_2020,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Land_Surface_Temperature_2020,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Incidence_2020,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Malaria_Prevalence_2020,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Maximum_Temperature_2020,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Mean_Temperature_2020,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Minimum_Temperature_2020,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,Night_Land_Surface_Temp_2020,PET_2000,PET_2005,PET_2010,PET_2015,PET_2020,Precipitation_2000,Precipitation_2005,Precipitation_2010,Precipitation_2015,Precipitation_2020,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Rainfall_2020,Temperature_January,Temperature_February,Temperature_March,Temperature_April,Temperature_May,Temperature_June,Temperature_July,Temperature_August,Temperature_September,Temperature_October,Temperature_November,Temperature_December,Travel_Times,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,U5_Population_2020,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Count_2020,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,UN_Population_Density_2020,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015,Wet_Days_2020
MZ202200000001,MZGE81FL,MZ,2022,1,MZ2022DHS,15946.18359,20045.12891,30326.47266,26783.74805,33939.90234,29.24281502,15.21533012,21.00917053,17.4136734,23.96900177,27.32321739,29.05013847,28.59979057,29.87281227,29.78666878,9.659679413,10.01566887,10.0791235,10.65316868,9.78767395,4,1302.171875,0.294143736,0.273671865,0.293230742,0.269443244,0.28415817,0,0,0,0,0,41.21588898,8,0.293582827,0.030475475,0.005986566,0.152522892,0.520091712,0.475753784,21.27037811,22.57746506,22.43154526,22.91258049,23.05135536,2.966296434,21.63207054,95.51185608,0.860539138,2.144364834,0.440834284,0.298648745,0.329524994,0.17530559,0.256284475,0.408114284,0.227881446,0.26214695,0.109083079,0.191374838,25.69348907,26.89900208,26.80607605,26.94665718,26.28168488,20.85108566,21.85807419,21.74144936,21.58441925,21.37643242,16.03381157,16.88333321,16.72695351,16.29348946,16.49401093,2.609715223,15.21753788,16.10479164,16.26329803,15.95234871,16.31604195,3.332769156,3.950651169,3.710980892,3.851215363,3.573133707,97.45954895,60.11046219,77.96463013,67.06380463,85.64444733,1190.727539,805.7709961,1172.520142,936.6038208,967.2471313,20.72421265,20.83978081,20.62402153,19.96968842,18.29690742,16.39239311,15.98999596,17.35148048,19.8703804,21.99503899,22.36765289,21.31921005,10.00488281,2668.403809,3575.06665,4912.859863,4468.669922,5503.324219,8932.919922,11552.26953,14727.45508,18569.47461,23017.84961,426.6809692,551.7942505,703.4569702,886.9710693,1099.447754,9.625750542,7.144556999,9.250372887,7.835277557,7.753168106
MZ202200000002,MZGE81FL,MZ,2022,2,MZ2022DHS,10948.33887,18815.26953,21058.95508,28308.95703,37564.57031,29.48419189,15.37393665,21.28626251,17.45051956,24.34726906,27.7017498,29.34184074,29.51433945,30.45152664,30.46668434,9.667346954,10.02212143,10.0837822,10.65707493,9.796354294,4,1321.927734,0.272153109,0.259361356,0.27275914,0.249903247,0.259657085,0,0,0,0,0,37.44144058,8,0.293582827,0.029033346,0.006581884,0.153357938,0.515084863,0.468451619,21.13901901,22.36385918,22.54977989,22.84065056,23.10727119,2.301961184,6.483798027,65.74737549,0.415870935,0.067569695,0.468782425,0.334530681,0.356457114,0.192833036,0.276421845,0.449375391,0.266404569,0.291763395,0.124382801,0.213718802,25.59528351,26.7957325,26.70248795,26.84240341,26.17745972,20.74874115,21.75153351,21.63557625,21.47721481,21.26922798,15.92793655,16.77361107,16.61870766,16.18532944,16.38110542,1.343948364,14.57628727,15.38587952,15.58521938,15.22977257,15.747859,3.320876837,3.941420794,3.696253061,3.837210655,3.561183453,97.91336823,60.59515762,78.67941284,66.96131897,86.70509338,1140.679077,798.3121338,1129.984741,912.3207397,945.8031616,20.65932655,20.784729,20.59071541,19.88495255,18.21410179,16.32770157,15.916502,17.20479965,19.75073624,21.95376778,22.24861526,21.28692627,6.83984375,2428.418213,3355.720215,4415.432129,4723.140137,6091.060547,8934.455078,11554.25488,14729.98535,18572.66602,23021.80664,426.6809692,551.7942505,703.4569702,886.9710693,1099.447876,9.773513794,7.287606716,9.444476128,7.928147793,7.861981869
MZ202200000003,MZGE81FL,MZ,2022,3,MZ2022DHS,8640.275391,15356.54004,13195.07129,26738.66211,36014.37891,29.36795044,15.31369495,21.15747261,17.42512512,24.27493477,27.61924934,29.16996574,28.93274307,30.0181942,30.25568962,9.680671692,10.03721142,10.10523796,10.68307304,9.821296692,4,1342.817383,0.253153712,0.243849754,0.251808912,0.224359274,0.223940417,0,0,0,0,0,40.33386993,8,0.880748451,0.027245071,0.006423172,0.144408897,0.500445008,0.465166062,21.05496597,22.24551582,22.28438759,22.59481812,22.89523506,2.305918932,9.08599472,59.25141907,0.500166059,0.245091245,0.449028611,0.308283687,0.324521095,0.177859128,0.258112371,0.420056343,0.238097399,0.256706893,0.111158475,0.193615586,25.51469803,26.71427917,26.62329292,26.76566696,26.10141754,20.66166115,21.66235542,21.54532814,21.38867378,21.18071556,15.83402824,16.67706871,16.51805687,16.08259583,16.28012085,1.207697392,14.49068165,15.32106495,15.6360302,15.17143917,15.53477955,3.310069323,3.929282427,3.685402393,3.826663733,3.551027298,97.20995331,60.17183304,77.97380066,66.68009949,86.20095825,1157.484619,803.104126,1142.346191,897.1814575,915.3186646,20.46715546,20.5916214,20.3272419,19.65283966,17.99637413,16.04637718,15.68272114,17.02680969,19.55725288,21.75771713,22.08075523,21.00351906,5.653320313,2002.927979,2738.978271,3074.257568,4461.589355,5840.266602,8907.375,11519.1377,14685.10254,18515.94141,22951.3418,425.3877258,550.1171265,701.3134766,884.262085,1096.082642,9.812441826,7.304762363,9.46276474,7.974989891,7.903213024
MZ202200000004,MZGE81FL,MZ,2022,4,MZ2022DHS,18595.00781,24799.44141,32033.25586,41289.41406,50818.46094,29.1344986,15.15704155,20.88780594,17.39409447,23.90424156,27.24037552,29.05986214,28.68104172,29.62177086,30.0450058,9.672569275,10.02968788,10.09904575,10.67769146,9.81111145,4,1343.996094,0.263126701,0.242703125,0.251767188,0.224208862,0.224758327,0,0,0,0,0,48.07558823,8,0.880748451,0.02809556,0.005717108,0.140248165,0.494481653,0.460866034,20.9143734,22.24795151,22.15741348,22.4669838,22.8669796,2.699616194,10.5043602,68.62026978,0.576041162,0.653386831,0.420711994,0.275307178,0.299601465,0.163127989,0.241480678,0.380288988,0.203282937,0.229469448,0.098893166,0.175688088,25.61562347,26.81992149,26.72890663,26.87200546,26.20772552,20.76692772,21.77178955,21.65403748,21.49865532,21.29075623,15.94305611,16.79023552,16.62986183,16.19431496,16.39661407,2.930783987,14.58837128,15.43604183,15.63378525,15.31219673,15.6889534,3.32256937,3.939236164,3.700651169,3.8411026,3.563498259,96.8013916,59.70716476,77.2984848,66.81250763,85.182724,1195.519531,800.9795532,1167.728882,932.6452637,938.354126,20.52100182,20.63868713,20.35558891,19.74934387,18.08899498,16.15312386,15.7850771,17.17882347,19.66646576,21.80293655,22.18232155,21.04881096,2.329101563,3246.725098,4423.00293,5262.07373,6888.833008,8240.166016,8932.919922,11552.26953,14727.4541,18569.47461,23017.84961,426.6809692,551.7942505,703.4569092,886.9710693,1099.447754,9.663576126,7.160051823,9.267460823,7.880455494,7.793042183
MZ202200000005,MZGE81FL,MZ,2022,5,MZ2022DHS,18595.00781,24799.44141,32033.25586,41289.41406,50818.46094,29.24281502,15.21533012,21.00917053,17.4136734,23.96900177,27.32321739,29.05013847,28.59979057,29.87281227,29.78666878,9.659679413,10.01566887,10.0791235,10.65316868,9.78767395,4,1302.171875,0.294143736,0.273671865,0.293230742,0.269443244,0.28415817,0,0,0,0,0,41.21588898,8,0.293582827,0.030475475,0.005986566,0.152522892,0.520091712,0.475753784,21.27037811,22.57746506,22.43154526,22.91258049,23.05135536,2.966296434,21.63207054,95.51185608,0.860539138,2.144364834,0.440834284,0.298648745,0.329524994,0.17530559,0.256284475,0.408114284,0.227881446,0.26214695,0.109083079,0.191374838,25.69348907,26.89900208,26.80607605,26.94665718,26.28168488,20.85108566,21.85807419,21.74144936,21.58441925,21.37643242,16.03381157,16.88333321,16.72695351,16.29348946,16.49401093,2.609715223,15.21753788,16.10479164,16.26329803,15.95234871,16.31604195,3.332769156,3.950651169,3.710980892,3.851215363,3.573133707,97.45954895,60.11046219,77.96463013,67.06380463,85.64444733,1190.727539,805.7709961,1172.520142,936.6038208,967.2471313,20.72421265,20.83978081,20.62402153,19.96968842,18.29690742,16.39239311,15.98999596,17.35148048,19.8703804,21.99503899,22.36765289,21.31921005,10.00488281,3246.725098,4423.00293,5262.07373,6888.833008,8240.166016,8932.919922,11552.26953,14727.45508,18569.47461,23017.84961,426.6809692,551.7942505,703.4569702,886.9710693,1099.447754,9.625750542,7.144556999,9.250372887,7.835277557,7.753168106
MZ202200000006,MZGE81FL,MZ,2022,6,MZ2022DHS,18595.00781,24799.44141,32033.25586,41289.41406,50818.46094,29.1344986,15.15704155,20.88780594,17.39409447,23.90424156,27.24037552,29.05986214,28.68104172,29.62177086,30.0450058,9.672569275,10.02968788,10.09904575,10.67769146,9.81111145,4,1343.996094,0.263126701,0.242703125,0.251767188,0.224208862,0.224758327,0,0,0,0,0,48.07558823,8,0.880748451,0.02809556,0.005717108,0.140248165,0.494481653,0.460866034,20.9143734,22.24795151,22.15741348,22.4669838,22.8669796,2.699616194,10.5043602,68.62026978,0.576041162,0.653386831,0.420711994,0.275307178,0.299601465,0.163127989,0.241480678,0.380288988,0.203282937,0.229469448,0.098893166,0.175688088,25.61562347,26.81992149,26.72890663,26.87200546,26.20772552,20.76692772,21.77178955,21.65403748,21.49865532,21.29075623,15.94305611,16.79023552,16.62986183,16.19431496,16.39661407,2.930783987,14.58837128,15.43604183,15.63378525,15.31219673,15.6889534,3.32256937,3.939236164,3.700651169,3.8411026,3.563498259,96.8013916,59.70716476,77.2984848,66.81250763,85.182724,1195.519531,800.9795532,1167.728882,932.6452637,938.354126,20.52100182,20.63868713,20.35558891,19.74934387,18.08899498,16.15312386,15.7850771,17.17882347,19.66646576,21.80293655,22.18232155,21.04881096,2.329101563,3246.725098,4423.00293,5262.07373,6888.833008,8240.166016,8932.919922,11552.26953,14727.4541,18569.47461,23017.84961,426.6809692,551.7942505,703.4569092,886.9710693,1099.447754,9.663576126,7.160051823,9.267460823,7.880455494,7.793042183
MZ202200000007,MZGE81FL,MZ,2022,7,MZ2022DHS,9795.767578,11257.34766,18958.99219,22854.60547,27714.0293,28.90279388,15.00117588,20.62035179,17.36329651,23.53613472,27.02186203,29.21199036,28.62624931,29.28261566,29.63967896,9.664467812,10.02216434,10.09285355,10.67230892,9.800926208,4,1317.230469,0.283344448,0.264210522,0.278993875,0.263120949,0.265339583,0,0,0,0,0,24.90905952,8,0.293582827,0.027962515,0.004890307,0.135149047,0.50144583,0.46963796,20.83659935,22.39593124,22.20101357,22.3269577,22.76107407,2.006759405,6.42920351,51.89179993,0.434430957,0.06374535,0.471999496,0.337087214,0.365368426,0.194031268,0.282328576,0.452700019,0.269660562,0.301655263,0.125308186,0.220309466,25.71655083,26.92556381,26.83452034,26.97834206,26.31403351,20.87219429,21.88122177,21.76274681,21.60863876,21.40079689,16.05208397,16.90340042,16.74166679,16.30603218,16.5131073,0.558659077,14.65133858,15.57987213,15.77577591,15.3713007,15.88247013,3.335069418,3.949189901,3.715899944,3.855541229,3.575969458,96.39282227,59.24249268,76.62316132,66.94490814,84.16449738,1219.340576,815.5275879,1202.055298,949.3341064,957.5401001,20.63137627,20.74156189,20.43546295,19.9108429,18.23924637,16.3125,15.94470215,17.40769768,19.83646584,21.89406204,22.35307312,21.1660614,8.116210938,1453.869263,2007.758179,2697.210938,3813.121826,4493.804199,8931.380859,11550.27832,14724.91699,18566.27344,23013.88281,426.6809692,551.7941895,703.4569092,886.9709473,1099.447632,9.514710426,7.015341282,9.072156906,7.785921574,7.682871342
MZ202200000008,MZGE81FL,MZ,2022,8,MZ2022DHS,285.1954346,250.9557343,215.0133209,226.7007599,256.3925171,26.97473717,11.89683151,15.63284683,22.73299026,19.99536705,31.36121178,34.81496429,33.34732819,34.03055573,34.47808838,11.48823738,11.48298645,11.70668411,12.55846405,11.54730892,4,592.6953125,0.321918547,0.255007654,0.308513194,0.286727577,0.280053496,0,0,0,0,0,37.8431015,7,0.001137226,0.052331433,0.018006584,0.290258944,0.534168899,0.811245799,24.5032196,26.90633774,26.04942703,26.28303146,26.86317444,0.385078341,11.97506142,4.142298222,0.226855054,0.05897579,0.530097663,0.334988952,0.444730073,0.380446553,0.405838311,0.562823355,0.267643869,0.392439693,0.328816891,0.364533454,29.02760506,30.04644203,30.04891586,30.29691887,29.61922836,23.25772667,24.28116417,24.16449738,23.98085976,23.81844711,17.53936577,18.56345558,18.34222984,17.73845482,18.07191849,0,17.64522743,18.99770737,18.75152779,18.5355072,19.2482605,3.549652815,4.004209995,3.851779461,3.950303793,3.720963717,95.75095367,47.63741684,60.21427917,89.80221558,74.40203857,1084.065063,764.8969116,858.3145142,936.8771973,779.3032227,25.26101303,25.3044529,24.69942665,23.70257187,21.68045235,19.79058456,19.95235062,20.82407379,24.06660843,27.09988976,27.32384109,25.80747986,84.25195313,63.69144821,52.71727371,46.83789063,44.80253601,49.30165482,165.5108185,183.8535919,201.4072723,218.3002625,232.6938782,7.957641602,8.839549065,9.683517456,10.49571991,11.18775463,7.476505756,5.31231308,6.497130871,7.173797607,6.515598774
MZ202200000009,MZGE81FL,MZ,2022,9,MZ2022DHS,238.2325745,214.4942932,196.6252136,307.7233887,357.9429321,25.61463737,11.13128281,14.91060734,21.70298195,18.9014225,30.75687599,33.66114807,32.91531372,33.30125046,34.31302261,11.53945351,11.52734375,11.77369785,12.61901093,11.61080742,4,618.8203125,0.309078425,0.257880211,0.29511562,0.287515104,0.24101159,0,0,0,0,0,24.04775047,7,0,0.046716202,0.024114674,0.293022841,0.528538644,0.792079329,24.26417542,26.32203102,25.88656235,25.90225029,26.87141037,0.217331707,9.030485153,5.702830791,0.195720583,0.036210094,0.53611964,0.394675434,0.476732969,0.435442328,0.424755126,0.572960317,0.335439593,0.432658613,0.393230975,0.388282478,29.40403748,30.39622498,30.4138031,30.66275978,29.99257851,23.60729218,24.6092453,24.49648476,24.31731796,24.16106796,17.86458397,18.86888123,18.64010429,18.04375076,18.38177109,0,17.77147675,18.98291588,18.85781288,18.50325012,19.42979622,3.615364552,4.054557323,3.900781393,4.003776073,3.771093845,92.60625458,45.1324234,58.16302109,86.89388275,71.27903748,1182.310425,755.4996338,849.8745117,928.6244507,708.1671143,25.25027657,25.3750515,24.80745316,23.89978218,21.6891346,19.77976418,19.97816467,20.85174179,23.87497139,26.65802383,27.04444885,25.70742989,115.2939453,50.16322708,42.98395538,40.04240417,58.20765686,65.91611481,158.2622986,177.3575134,195.9332886,214.0811157,229.954422,7.604768753,8.522325516,9.414922714,10.28695679,11.04969597,7.406692505,5.171132565,6.319752216,6.961914063,6.361900806
MZ202200000010,MZGE81FL,MZ,2022,10,MZ2022DHS,1828.601685,2576.931641,4453.272949,4017.155029,4307.222168,26.67297745,11.67621803,15.42798328,22.69902229,19.79145622,32.17170715,34.75624847,34.27270889,34.58371353,34.93409729,11.5442276,11.50590324,11.76241398,12.62018204,11.60303879,4,581.6855469,0.301705122,0.252703637,0.293351203,0.262157649,0.248482913,0,0,0,0,0,50.12287903,7,0.001137226,0.048761372,0.021608036,0.293913513,0.50223577,0.791118026,25.5416317,27.43390465,27.10185814,27.34007072,27.68385315,0.357719183,10.30712223,11.12696457,0.210478738,0.036389042,0.507361829,0.313191444,0.410942435,0.367871732,0.379955232,0.515402615,0.243070841,0.353423268,0.313857496,0.334100902,29.22447968,30.20946312,30.23459244,30.48624229,29.80802917,23.42595482,24.43376732,24.32335091,24.13945389,23.98068619,17.68025208,18.70355988,18.47217941,17.86606026,18.20499229,2.202807665,18.91155243,20.11156273,19.93100739,20.0964241,20.43361092,3.57256937,4.01853323,3.864019156,3.963064194,3.732682467,95.2910614,46.92126846,59.61401749,89.95767975,73.87522125,1070.539551,718.3134155,826.8121948,912.7711182,712.1191406,25.38486671,25.45551682,24.98891449,24.06449318,21.7453804,19.84703827,19.68228912,21.21736908,24.22141647,27.01206398,27.29065704,26.00842094,86.49902344,335.7562256,516.4086914,828.5702515,759.868103,793.1860962,158.1714325,177.2556763,195.8207855,213.9582062,229.8223877,7.60476923,8.522325516,9.414922714,10.28695774,11.04969597,7.487886429,5.300724506,6.466636181,7.161427498,6.522005081
