DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2000,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Count_2020,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,Aridity_2020,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Day_Land_Surface_Temp_2020,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Diurnal_Temperature_Range_2020,Drought_Episodes,Elevation,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Enhanced_Vegetation_Index_2020,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Frost_Days_2020,Global_Human_Footprint,Growing_Season_Length,Irrigation,ITN_Coverage_2000,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,ITN_Coverage_2020,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Land_Surface_Temperature_2020,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Incidence_2020,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Malaria_Prevalence_2020,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Maximum_Temperature_2020,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Mean_Temperature_2020,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Minimum_Temperature_2020,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,Night_Land_Surface_Temp_2020,PET_2000,PET_2005,PET_2010,PET_2015,PET_2020,Precipitation_2000,Precipitation_2005,Precipitation_2010,Precipitation_2015,Precipitation_2020,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Rainfall_2020,Temperature_January,Temperature_February,Temperature_March,Temperature_April,Temperature_May,Temperature_June,Temperature_July,Temperature_August,Temperature_September,Temperature_October,Temperature_November,Temperature_December,Travel_Times,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,U5_Population_2020,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Count_2020,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,UN_Population_Density_2020,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015,Wet_Days_2020
RW201900000001,RWGE81FL,RW,2019,1,RW2019DHS,12781.8291,32507.6875,33408.73047,77985.22656,131095.2969,27.42360878,24.88266373,33.39979172,39.33112717,36.98104095,29.29329491,27.81018448,27.9125824,28.05915451,27.78885269,12.83640099,12.63612556,12.75312519,11.82452297,11.48959827,NA,1667.808594,0.323587954,0.369306296,0.384499609,0.376681954,0.371812314,0,0.001082176,0,0,0,38.62026978,11,0.860094547,0.014808309,0.014424932,0.570291519,0.696257651,0.283266336,22.57152748,22.09522057,22.16536903,22.29743576,22.30000305,89.16352081,420.776947,156.3654022,23.63009834,10.27459145,0.319487303,0.073328555,0.092451356,0.058959827,0.069289565,0.286701649,0.039459869,0.051267534,0.03129385,0.040493429,25.81383133,26.50562859,26.06770897,25.20264816,24.86951637,19.36423683,20.1641655,19.66305161,19.26187897,19.0971508,12.97743034,13.86950207,13.31458378,13.37812519,13.37991905,0.34375307,15.84976006,16.38025475,16.41815948,16.53571892,16.8111515,2.896889448,3.086415052,3.043142319,2.862861633,2.831192255,79.44316101,76.79821777,101.6403275,112.5995789,104.7004395,774.3816528,1062.136841,1169.214233,957.6322021,1201.118774,20.00971031,19.75714302,19.79273987,19.66428947,19.552351,19.25317574,19.7147522,20.40164948,20.25337029,19.90442085,19.39864731,19.5540123,4.779296875,2115.393555,4343.774902,6072.65332,9624.070313,15079.68555,13571.43555,16637.86328,20603.83008,24982.93164,29789.80273,631.1661377,773.7763062,958.2213745,1161.880005,1385.432983,14.42588615,14.26297283,16.71637344,16.34634018,16.93562889
RW201900000002,RWGE81FL,RW,2019,2,RW2019DHS,12857.78418,13643.88184,12533.65723,12117.59082,11180.6543,28.8971138,25.49785995,34.10428619,35.6619606,39.4931488,29.24916649,27.16949081,27.7324543,27.85334587,27.02840614,12.62016773,12.34913158,12.55622101,11.55478859,11.19872665,1,1410.40625,0.354538172,0.390361577,0.385479331,0.393274844,0.386761189,0,0,0,0,0,40,11,0.457512051,0.01561405,0.014247335,0.369329304,0.691832006,0.154150724,22.39166069,21.70383644,22.05918312,22.12050438,22.12029076,7.203616142,97.96459198,80.289505,40.21265411,27.49278259,0.464139432,0.188010737,0.247931272,0.188683867,0.216999024,0.478469878,0.124312311,0.187749341,0.12757735,0.163953021,26.70461655,27.3303833,26.91627693,26.07365417,25.71455574,20.36792564,21.12897873,20.61063385,20.27174377,20.08758736,14.08444691,14.98125076,14.36005497,14.51886559,14.51582813,0,15.53415394,16.23818207,16.38591385,16.38766289,17.21217537,3.083333254,3.3013165,3.236516237,3.075896978,3.017983198,89.09944153,84.17650604,110.3790817,109.6925201,119.1896591,1016.701111,1021.894104,1287.675781,1244.146118,1525.004761,20.23031998,20.0014801,19.89671326,19.80634308,19.7627964,19.49509048,19.79367447,20.7097187,20.77429008,20.30958557,19.36491585,19.93478012,40.59179688,2338.689697,2197.838867,2051.633301,1949.18335,1678.533203,15804.25488,13845.30371,12460.71191,11216.69141,10124.70703,735.46521,644.3036499,579.8704224,521.9788208,471.1623535,13.8109808,13.41409874,15.53240681,15.07988834,16.29859161
RW201900000003,RWGE81FL,RW,2019,3,RW2019DHS,8917.19043,8069.541016,9051.658203,7891.302246,8268.964844,32.62244415,29.12966347,39.04914474,47.32271576,42.88056564,26.26083374,25.75687408,24.65826416,25.0447216,24.9398613,12.57209206,12.36223984,12.50885391,11.5478735,11.24500847,NA,1792.770508,0.3241072,0.382110775,0.399934202,0.389734387,0.390991688,0,0.004618056,0.000329861,0.00140191,8.25E-05,37.8181572,13,0,0.012873428,0.017084194,0.513423324,0.596628249,0.289172888,19.75270844,19.77194405,19.28868103,19.57611084,19.70206833,30.86703682,41.29141998,134.2558746,17.08862686,72.7540741,0.29917413,0.067882478,0.097881757,0.050589129,0.066192038,0.265910476,0.036321972,0.054956798,0.02644882,0.038526107,24.24058151,24.94453049,24.51883698,23.59505272,23.26245689,17.92734337,18.73936653,18.23797798,17.7995224,17.61840248,11.66848946,12.5822916,12.00998306,12.04717827,12.01744843,0.017990155,13.24458313,13.78701401,13.91909695,14.10750008,14.46427727,2.711024284,2.899088621,2.858724117,2.671961784,2.668446302,88.44023895,84.44947815,111.6307373,126.4444885,114.4244843,840.7072754,981.6008301,1316.872925,1074.644531,1264.448364,18.13258362,18.08946609,18.00045967,17.77854347,17.64205742,17.60467339,18.00164413,18.34586716,18.35599709,18.24332428,17.726717,17.7873764,31.9765625,1013.408447,1072.645142,1002.678284,952.3494873,914.5350952,9904.530273,9955.019531,10039.67578,9840.796875,9408.999023,460.5771179,462.9249573,466.8616028,457.6134033,437.5340881,15.02807617,14.67345047,17.33390236,16.86049461,17.34852791
RW201900000004,RWGE81FL,RW,2019,4,RW2019DHS,13660.55762,14291.89941,15447.41016,15688.77637,15788.89746,35.80601501,31.71229362,42.8393364,51.89112091,47.05447769,25.84109879,25.48950195,25.00531197,24.85562515,25.13557816,12.27818298,12.05395031,12.22803783,11.23616982,10.95373249,NA,1622.31543,0.375653028,0.429478168,0.433582217,0.417866021,0.413924396,0,0.003298611,0.000109954,0.000467303,2.75E-05,44.34027481,13,0,0.015131609,0.021784069,0.56099993,0.546454549,0.299438596,19.71325111,19.6374073,19.54115105,18.93545723,19.72263908,77.36042786,41.33259964,85.69195557,24.09978485,132.1683655,0.256206781,0.050700426,0.083212674,0.046368085,0.063606478,0.211558178,0.026146397,0.045372453,0.024064763,0.036355216,23.85655403,24.55967903,24.13421631,23.16433907,22.8364296,17.69184113,18.50871086,17.99443054,17.53072929,17.3412323,11.57837105,12.50572968,11.90617847,11.9281683,11.88269711,0.000404319,13.5854044,13.78531265,14.07699108,13.01528931,14.30969906,2.678776026,2.867809772,2.830034733,2.645254612,2.63543129,95.91629028,90.94482422,121.2368088,137.2652435,124.0088425,920.9182129,975.4098511,1430.349365,1218.452515,1271.003296,18.28980637,18.28069305,18.2334938,17.93358994,17.76222038,17.5969696,17.99549675,18.26835251,18.35092163,18.15567017,17.85238647,18.00933075,41.56835938,1933.206055,2074.693604,2103.198486,2076.295654,1919.590088,12430.06348,12997.7832,13644.31738,13927.67969,13874.39844,578.031189,604.4316406,634.4971924,647.6743164,645.1965942,14.99081993,14.57713985,17.27085114,16.82773018,17.23610306
RW201900000005,RWGE81FL,RW,2019,5,RW2019DHS,3584.523682,5372.826172,6309.424316,8553.576172,10454.82227,22.22148895,19.87766075,26.75408554,30.68357658,29.93553734,33.36863708,32.22357559,31.50541687,31.24937439,29.50930023,13.03511333,12.84631062,12.91380215,12.03532982,11.68745708,NA,1387.612305,0.285265326,0.283755034,0.317169249,0.318988711,0.353989989,0,0,0,0,0,30.36877823,11,0,0.017892983,0.010892422,0.715058267,0.673184037,0.302952707,24.64212036,24.44427109,24.06524277,23.90078163,23.25848579,19.21105003,200.3953705,27.73812485,0,13.44079113,0.382323414,0.084264442,0.099325873,0.061627105,0.079087391,0.367234468,0.046471883,0.055704832,0.032821521,0.047752183,27.48268127,28.17126846,27.71974754,26.89418602,26.64279556,20.93745613,21.72903633,21.23641586,20.84492111,20.76519203,14.44756985,15.32495689,14.80594635,14.85885429,14.95533848,0.013894424,15.91560555,16.66496468,16.62506866,16.55218697,17.00767136,3.065972328,3.254383802,3.189800501,2.982986212,3.008333445,68.13047028,64.68953705,85.3401947,91.52869415,90.05607605,718.7699585,855.6879883,1005.960327,788.5023193,1182.337769,20.35079002,20.32624435,20.28653336,20.24197769,20.17292404,19.82398415,20.00287437,20.62134361,20.87808228,20.42097664,19.90956306,20.03543472,28.87792969,633.9882202,885.0299683,1087.873169,1283.334106,1452.486328,3950.210205,4999.838867,6349.766602,7837.708008,9436.685547,183.7167053,232.5329285,295.3154907,364.5167847,438.8821716,14.08592415,14.07510376,16.22653961,16.16559792,16.75872421
RW201900000006,RWGE81FL,RW,2019,6,RW2019DHS,2396.146973,4247.350098,5402.49707,7566.060059,10404.22754,23.66939926,21.03896523,27.96785355,33.77112961,30.96611977,31.04090881,30.20760345,30.07927132,30.73114586,29.4371891,13.31562519,13.13177109,13.19583321,12.32487011,11.98815155,NA,1396.678711,0.347798288,0.371334881,0.379332304,0.366699994,0.375011086,0,0,0,0,0,34.52495956,11,0.652817249,0.016484734,0.01316749,0.703923881,0.714811206,0.369606763,23.16187477,23.02604103,23.14562607,23.70927048,23.15505219,38.35598755,118.3475037,23.1245327,4.286018372,50.57232666,0.378742248,0.107552417,0.110797025,0.058765143,0.076590911,0.36135748,0.062124562,0.063753858,0.03111119,0.04517819,26.89218712,27.58359337,27.13736916,26.30963707,26.01666641,20.20000076,20.99570465,20.51028824,20.11497498,19.99023438,13.57656288,14.45182323,13.9415369,13.98476601,14.02851582,0.011315733,15.28284073,15.84447956,16.21197891,16.6873951,16.87291336,2.969270945,3.161197901,3.098567724,2.891796827,2.909244776,70.2808609,66.5083313,86.66028595,97.65924072,90.08802032,721.3140259,879.0014648,968.1244507,786.5629883,1118.119019,20.40111542,20.31150818,20.3719368,20.30485153,20.23965454,19.86039543,20.3389473,20.97758675,20.90324402,20.54184723,19.96721077,20.05221939,31.53417969,461.0252991,682.6906738,954.2077637,1104.217896,1398.368408,5374.584961,6875.168945,8828.969727,11026.05859,13440.64941,249.927124,319.7067871,410.5617676,512.7300415,625.0125122,14.69397068,14.48157501,16.84352875,16.61644554,17.14967346
RW201900000007,RWGE81FL,RW,2019,7,RW2019DHS,8373.734375,9522.71875,10614.92285,12175.57129,13345.34766,37.73716354,32.64051056,44.56553268,53.6803093,49.27175522,22.31424141,21.96444321,21.98656273,21.24104118,21.39620972,12.05768204,11.8133688,12.00898457,10.99171066,10.72790813,NA,2114.950439,0.372753233,0.401402265,0.398165971,0.392091304,0.399501503,0,0.000607639,0,0,0,37.20183945,14,0,0.009349441,0.013446417,0.506816804,0.402706653,0.170881733,16.50723457,16.43684006,16.8957119,15.63703156,16.76306915,40.9173584,30.35982895,98.53092957,28.52549362,55.41846466,0.189154595,0.038935103,0.073184222,0.039250694,0.053337112,0.138465405,0.019519957,0.039108276,0.020077389,0.029762389,24.47252655,25.16501808,24.72105026,23.68090248,23.39635468,18.41684151,19.23407173,18.69036484,18.16718674,18.01011276,12.41484356,13.35165024,12.71206665,12.68919277,12.66844654,0.017153656,10.70022774,10.90923595,11.80486107,10.03302097,12.12992954,2.752213478,2.951953173,2.909418344,2.713932276,2.698220491,103.8607178,96.35325623,129.6597595,145.6847229,132.9460602,972.0396729,1027.4552,1397.53894,1201.287109,1161.780151,17.10220337,17.11128426,17.11499405,16.88287544,16.82562637,16.6419754,17.02420044,17.36668205,17.37855721,17.17695618,16.82057381,16.92469978,63.49609375,1278.893799,1388.766235,1521.482788,1617.484375,1629.72522,8420.277344,9453.533203,10649.68359,11660.51758,12453.94629,391.6109619,439.6657104,495.2963867,542.3083496,579.2091675,14.67198277,14.16417027,16.74747849,16.49601555,16.78501701
RW201900000008,RWGE81FL,RW,2019,8,RW2019DHS,4937.657227,4977.725098,5215.887207,5546.808105,5882.029297,35.72205734,31.11185837,42.41798401,49.81641769,47.02973557,25.83605957,24.61312485,24.64364624,24.87628365,24.25597572,12.11150169,11.86614609,12.06210899,11.04830742,10.75186634,NA,2006.926758,0.329721212,0.381012172,0.385386288,0.382513016,0.405195266,0,0.000190972,0,0,0,36.52357483,13,0,0.009290904,0.013328371,0.548802674,0.528779268,0.130322993,18.92312431,18.39467049,18.91479111,18.59548569,18.66335297,42.13166809,28.82226563,61.74930573,28.59101868,46.03855896,0.176679343,0.03375325,0.071132801,0.052888405,0.053108364,0.123130597,0.016681056,0.037878312,0.02768706,0.029037047,25.05620766,25.72821236,25.29292679,24.30173683,23.99079895,18.97517395,19.76844597,19.2368927,18.75190926,18.59032249,12.94470501,13.86206627,13.23081589,13.25342941,13.23893261,0.000322732,12.01019001,12.17621517,13.18593788,12.31468773,13.07073212,2.830338478,3.026605844,2.985460043,2.799696207,2.773567677,101.1055145,94.16332245,126.6371994,139.4708405,130.440155,1012.943298,1165.400024,1342.127563,1237.443237,1247.009644,17.67127037,17.6546402,17.63052368,17.46979713,17.40667343,17.32521629,17.69218254,18.13190269,18.12119675,17.80475998,17.38236237,17.44948578,79.45898438,609.1728516,646.3466797,656.2457275,653.4274292,636.8712158,6626.929199,6802.587891,7038.720215,7110.850586,7038.765625,308.2542114,316.4250488,327.4088135,330.7640076,327.4109497,14.41042042,13.99733067,16.39945602,16.21275139,16.63168335
RW201900000009,RWGE81FL,RW,2019,9,RW2019DHS,6676.896973,7137.644531,7796.143066,7859.915527,8327.766602,32.20336533,28.77573967,39.04511642,45.86405945,43.0436554,27.17749977,25.65124893,26.4844799,25.78822899,25.58583069,12.40924454,12.17864609,12.35533905,11.36549473,11.05273438,NA,1748.039063,0.339059085,0.380039573,0.367192686,0.377222419,0.380963087,0,0.00109375,0,0,0,41.04567337,12,0,0.012774986,0.014985764,0.596428454,0.638329327,0.19439885,20.72551155,20.16869736,20.72974014,20.34828186,20.40182304,17.84729576,18.22898293,68.50934601,2.05504632,3.507847786,0.253134876,0.055044483,0.096408464,0.065756425,0.067663647,0.204876646,0.028493447,0.053858325,0.035230622,0.038470499,25.22721481,25.90286446,25.48164177,24.55520821,24.20885468,18.99739647,19.78841209,19.27682304,18.85260391,18.66237068,12.81796837,13.72421932,13.12630272,13.18971348,13.1561203,0.005481719,14.27352333,14.68614578,14.97500038,14.90833282,15.21781635,2.848567724,3.038932323,2.99570322,2.821744919,2.791796923,91.7334671,87.44752502,116.9675827,129.4166718,120.1691437,839.8121948,1007.124573,1244.438477,1098.063599,1280.859863,18.82278442,18.75505829,18.74740028,18.56287766,18.5094738,18.16809273,18.62594795,19.53038788,19.11146927,18.80626488,18.56132507,18.60911942,14.39257813,855.880249,971.6760864,976.9215698,964.6554565,933.3378906,8098.100098,8492.81543,8937.71875,9142.642578,9123.392578,376.6558228,395.014679,415.7078552,425.2391968,424.3438416,14.4297781,14.12821579,16.53600311,16.26278687,16.77057266
RW201900000010,RWGE81FL,RW,2019,10,RW2019DHS,11260.66602,13095.21484,13300.14844,14455.38965,15711.09668,34.89618683,30.81108093,41.27314758,50.75420761,44.99430847,23.66859818,22.62624931,22.29871559,22.21593666,22.37184143,12.52964401,12.30859375,12.47725677,11.49830723,11.21506119,NA,2007.841797,0.32379508,0.378532827,0.391893387,0.361201912,0.370214611,0,0.010381944,0.001197917,0.005091146,0.000299479,38.48031616,13,0,0.01264334,0.014044816,0.477046043,0.517410815,0.286196291,18.01450729,17.377882,17.62867928,17.29491425,17.69267464,29.18567085,22.75491333,93.2720871,16.73456573,54.52342224,0.264041156,0.055111464,0.079455815,0.045013927,0.063852929,0.220992297,0.028686732,0.043102033,0.023325047,0.03642616,23.71393394,24.42630196,24.00269127,23.0125885,22.72122383,17.42543411,18.24848175,17.74014854,17.24179649,17.08923721,11.18428802,12.11770821,11.52543449,11.51427937,11.5061636,0.010819998,12.36041641,12.12951374,12.95864582,12.37388897,13.0135088,2.64105916,2.828341961,2.784678936,2.581510544,2.616623402,92.1628952,87.14427185,114.9324722,131.022522,117.7331619,912.607605,962.2921143,1419.998657,1140.794189,1215.746826,17.36304283,17.30200386,17.12070656,16.91764641,16.79069519,16.54963493,16.93920135,17.20389748,17.31200981,17.11926651,16.89928818,17.16350746,33.8515625,1854.480591,2034.911987,2100.123047,2050.08667,2053.149902,12351.27539,13201.91211,14208.38281,14914.15332,15323.62598,659.4139404,704.8280029,758.5617676,796.2416992,818.1027832,15.28765106,14.79241753,17.55884171,17.02485275,17.46942329
