DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2000,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Count_2020,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,Aridity_2020,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Day_Land_Surface_Temp_2020,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Diurnal_Temperature_Range_2020,Drought_Episodes,Elevation,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Enhanced_Vegetation_Index_2020,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Frost_Days_2020,Global_Human_Footprint,Growing_Season_Length,Irrigation,ITN_Coverage_2000,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,ITN_Coverage_2020,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Land_Surface_Temperature_2020,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Incidence_2020,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Malaria_Prevalence_2020,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Maximum_Temperature_2020,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Mean_Temperature_2020,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Minimum_Temperature_2020,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,Night_Land_Surface_Temp_2020,PET_2000,PET_2005,PET_2010,PET_2015,PET_2020,Precipitation_2000,Precipitation_2005,Precipitation_2010,Precipitation_2015,Precipitation_2020,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Rainfall_2020,Temperature_January,Temperature_February,Temperature_March,Temperature_April,Temperature_May,Temperature_June,Temperature_July,Temperature_August,Temperature_September,Temperature_October,Temperature_November,Temperature_December,Travel_Times,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,U5_Population_2020,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Count_2020,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,UN_Population_Density_2020,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015,Wet_Days_2020
TZ202200000001,TZGE81FL,TZ,2022,1,TZ2022DHS,30.72167778,35.30757904,41.2572403,48.32668686,56.45309448,14.05648136,8.946573257,13.74777699,18.52497292,26.9441185,28.61856079,28.28920174,27.35579872,28.14684105,25.59691429,12.08454895,12.21822929,11.74401093,11.63993073,11.18224812,5,1707.057617,0.239071578,0.270666808,0.281261802,0.263124287,0.301940978,0,0,0,0,0,21.4776535,7,0,0.022121316,0.041853376,0.545039177,0.099923365,0.474174351,21.36446953,21.64708328,21.06251717,21.73579979,20.14498901,10.11599731,29.13959694,4.46544838,0.027806645,3.026185274,0.211666554,0.122622266,0.089855976,0.093381867,0.087210551,0.161319852,0.072377391,0.048313186,0.05035083,0.048413765,26.57300377,27.1459198,26.65112877,26.64761353,26.42122459,20.50625038,21.01310921,20.76080704,20.79839516,20.80651093,14.48845482,14.92769146,14.9071188,15.0076828,15.23897552,0,14.11037922,15.00496483,14.76923561,15.32475662,14.69306183,3.594835043,3.773524284,3.597873449,3.531597376,3.477213621,50.5307312,33.76011276,49.46276093,65.42274475,93.69045258,783.5652466,554.0016479,815.5220947,753.4203491,1366.22937,20.59163857,20.56527901,20.31832695,19.91345215,18.31872559,17.25032425,16.27074051,17.11221886,18.62449837,19.87489128,20.8953476,20.97242737,140.1171875,276.1621399,295.0365601,320.6293945,317.5462036,354.8198242,1445.747437,1621.941284,1840.539429,2082.412354,2329.187744,67.43825531,75.65698242,85.85369873,97.13609314,108.6471634,8.5197258,7.471254349,8.404123306,10.07683182,10.89610672
TZ202200000002,TZGE81FL,TZ,2022,2,TZ2022DHS,201.7576294,231.8744812,270.9475403,317.3745117,387.0613708,13.40552998,8.326161385,12.58857536,16.46768761,24.30883408,32.19482422,32.46107483,31.55717659,32.32258224,29.28645897,12.12633133,12.25445557,11.8150177,11.70798588,11.23962688,5,1393.806641,0.224041924,0.251214653,0.259599328,0.228216305,0.311455846,0,0,0,0,0,42.54258347,7,0,0.026721712,0.051158935,0.556952238,0.138237357,0.4731493,24.37634468,25.01161385,24.51586151,25.09020805,23.23227501,7.546225548,20.80562592,3.586589813,0.0393182,2.024496794,0.228871256,0.143801406,0.096588932,0.096855484,0.083787397,0.181450531,0.088974208,0.052585337,0.05248015,0.045979965,27.1126442,27.67167282,27.19493675,27.18676376,26.96454048,21.02569389,21.52346802,21.27217865,21.29940796,21.31825829,14.98631382,15.41721725,15.37991905,15.47877598,15.7249136,0.301378757,16.55786705,17.56215286,17.47454834,17.85783577,17.17809105,3.699262142,3.872772217,3.707798004,3.653588057,3.586328268,49.59056854,32.245327,46.67589951,60.16614532,87.17945862,673.9932251,526.199707,741.3100586,614.0889282,1260.860352,22.18900108,22.19191551,21.75733376,21.40464401,19.87824059,18.62388229,17.82681274,18.71753883,20.33253479,21.55252457,22.55791283,22.68346405,118.7197266,2164.068115,2576.62085,2703.029053,2998.52124,3139.701904,7925.257324,8891.111328,10089.41602,11415.30859,12768.0752,369.7267761,414.7854919,470.688446,532.5435791,595.6524658,8.258479118,7.260006905,8.139904976,9.876524925,10.56184387
TZ202200000003,TZGE81FL,TZ,2022,3,TZ2022DHS,28.04639435,32.2329483,37.664505,44.11833191,51.82410049,13.5654726,8.650597572,13.14487362,18.26671219,24.84932137,30.016819,29.8223381,27.93488312,29.58899307,27.16012764,12.11312199,12.23171329,11.73894691,11.63742733,11.18531609,5,1574.713867,0.228748932,0.276461571,0.287602276,0.255974591,0.314151049,0,0,0,0,0,31.2028656,7,0.528832674,0.02613241,0.051844884,0.588553965,0.140514612,0.493184805,22.42065048,22.85250092,21.99370384,22.99814224,21.45408058,9.410666466,34.44972992,3.883238554,0.031403709,3.188786983,0.220296279,0.107801437,0.077144451,0.101689905,0.087599941,0.171354085,0.060832858,0.040231336,0.055123933,0.048102945,26.98734093,27.56928635,27.05887032,27.01322365,26.79722214,20.90622139,21.43049812,21.17147064,21.16682625,21.18122101,14.87421894,15.33757305,15.31992245,15.37579632,15.61190701,0,14.82448196,15.88266182,16.05252266,16.40729141,15.74803257,3.671976328,3.850983858,3.684664488,3.619068384,3.57285881,49.81209564,33.31330872,48.43444824,66.10848236,88.7831192,679.5748291,456.2061768,739.5742798,657.8362427,1121.596313,21.10583496,21.10239601,21.04505157,20.82722855,19.11239624,18.06251907,17.00117302,17.85657883,19.34589195,20.52416611,21.49767876,21.52451324,56.27050781,340.7695923,362.7001343,375.6334839,375.5485229,407.6520386,2118.743408,2376.955566,2697.311279,3051.776367,3413.425781,98.78971863,110.8292694,125.7663498,142.2938385,159.156311,8.226884842,7.388073921,8.356079102,9.980880737,10.67235756
TZ202200000004,TZGE81FL,TZ,2022,4,TZ2022DHS,23.56589127,27.0836277,31.6474762,37.0702858,43.25317001,18.0682354,11.9081068,14.60561657,18.90903854,31.69958878,31.31088448,32.87145615,33.56544113,34.28918839,31.43767738,11.48786163,11.71069241,11.40740776,11.27615738,10.87423325,9,983.6728516,0.281699449,0.279554009,0.250710607,0.228596583,0.306130916,0,0,0,0,0,38.55176163,8,0,0.03481292,0.083058149,0.445729882,0.141229868,0.710520566,23.88603592,25.41957283,25.85388374,26.46309662,24.83529282,5.088727474,26.03880882,6.614675999,2.763623714,3.32571578,0.286079645,0.143975616,0.053310473,0.090622388,0.079202347,0.23361437,0.086779565,0.026747763,0.048912529,0.043421566,27.7043705,28.30781174,27.91967583,28.01564026,27.76548004,21.9348526,22.4310627,22.19132042,22.34668732,22.30258942,16.21650887,16.59712029,16.51226807,16.73948288,16.8912468,0,16.46118736,17.9676857,18.14232635,18.63700104,18.23290825,3.661602974,3.836009979,3.686386108,3.655483246,3.563093185,66.15871429,45.67961502,53.84194183,69.12167358,112.9485855,829.3681641,447.1324158,743.9173584,707.8751221,1320.365112,23.34123421,23.24354935,23.04693413,22.3649559,20.74325943,20.10263824,19.18440437,19.95529747,21.2104702,22.40576172,23.47762299,23.52463722,157.9091797,250.1275635,324.0791321,348.5711975,366.7743835,431.7557983,1367.26123,1533.889771,1740.62085,1969.363037,2202.741455,63.95037079,71.74402618,81.41337585,92.11224365,103.0279617,9.584076881,7.86277771,8.018896103,9.63972187,11.13737106
TZ202200000005,TZGE81FL,TZ,2022,5,TZ2022DHS,23.50305176,27.01140785,31.56308937,36.97143936,41.862854,14.55872631,9.643232346,11.43945026,13.88982964,24.91524506,31.29598427,31.8155899,33.00180435,32.37548447,30.03774643,11.67139816,11.95672798,11.6785593,11.50755215,11.08120632,9,1186.358398,0.277032197,0.27927345,0.245980024,0.242978632,0.328747809,0,0,0,0,0,20.93572235,7,0,0.031343363,0.069974869,0.516227484,0.119835123,0.681670845,24.43530273,25.25567627,25.93145943,25.7320137,24.36370087,0.519872546,19.0717144,3.457045078,1.976177573,3.651648998,0.232408643,0.123214148,0.071105845,0.095313534,0.080999039,0.17417407,0.070371844,0.03686025,0.051657151,0.044976607,28.52786446,29.16918564,28.76028633,28.80564308,28.55894089,22.66870689,23.16506195,22.89401054,23.03307343,22.98684883,16.8564682,17.21245766,17.08172798,17.29808998,17.47773552,0,17.5746212,18.69576454,18.86111069,19.08854103,18.68965721,3.856510401,4.058073044,3.895529509,3.863932371,3.771093845,56.14587784,39.1329422,44.56271744,53.6693573,93.95772552,651.7054443,385.7481689,526.1635742,661.8898926,1204.310303,23.16360664,23.01884079,22.92893028,22.31240845,21.02364922,20.01195145,19.17168427,19.88056183,21.3460083,22.62862587,23.727005,23.61920166,181.2070313,191.5446167,178.3296204,201.880661,189.2209473,207.490387,759.3416138,851.8828735,966.6959229,1093.733521,1223.345825,35.52812576,39.85795212,45.2298317,51.17367554,57.2379837,8.766540527,7.215833187,7.225637913,8.52438736,10.27301216
TZ202200000006,TZGE81FL,TZ,2022,6,TZ2022DHS,21.91644478,25.18796349,29.43237495,34.4756279,42.29712296,16.66942596,11.05295181,13.22702503,16.72910309,29.06638527,32.45897675,33.27541733,33.88208008,33.70861053,31.67648697,11.53346348,11.7930994,11.5013895,11.35486126,10.94205761,9,1103.016602,0.272042632,0.290785432,0.244259894,0.226889938,0.311122417,0,0,0,0,0,32.10482788,7,0,0.028343407,0.069346383,0.458966404,0.13038224,0.677775979,25.42195129,26.46012115,26.8542366,26.96446228,25.65673447,0.506785929,16.73128319,3.333302259,1.64522326,3.312876463,0.251324981,0.128634363,0.05447571,0.084262975,0.073223911,0.196372643,0.074726127,0.027466996,0.045045704,0.039912201,28.2240448,28.84531212,28.45069504,28.5258255,28.27960014,22.43138123,22.92573738,22.67465401,22.82539177,22.77921104,16.69058228,17.05221367,16.94930649,17.17096329,17.33754349,0,18.38492393,19.64482689,19.82638931,20.22031212,19.63698006,3.765538216,3.950824738,3.79379344,3.764974117,3.673741341,62.76935959,43.66827393,50.18059921,62.98463821,106.7823792,742.1068726,442.4400024,643.2526245,680.0873413,1259.396362,23.48877907,23.35643959,23.21676064,22.46436119,21.19960213,20.16838646,19.3280468,20.0849514,21.43888283,22.48341751,23.72836113,23.88590813,222.8505859,80.86896515,82.68353271,86.46931458,94.32634735,99.96988678,777.7574463,872.5430298,990.140625,1120.259155,1253.014893,36.38672638,40.82118988,46.32289505,52.4103775,58.62124252,9.161553383,7.540624619,7.5892663,9.061249733,10.68304253
TZ202200000007,TZGE81FL,TZ,2022,7,TZ2022DHS,59.0941925,67.91532135,79.35970306,92.95802307,107.4405289,13.49904633,8.426410675,11.88124943,14.37368393,24.15983772,34.21386337,34.89645767,34.30406189,34.18354034,32.05083084,11.81549454,11.97916698,11.62851524,11.51210976,11.07083321,9,1202.920898,0.207900003,0.226803631,0.223976046,0.203636467,0.266504198,0,0,0,0,0,25.80817795,7,0.270005256,0.032282364,0.057815164,0.501186311,0.053703733,0.632216215,25.09761429,26.02718735,25.79093742,25.93348885,24.59546471,14.89123917,22.3806324,10.28323364,4.794352055,4.07156086,0.265883118,0.179639921,0.102989465,0.094306327,0.093091354,0.209771037,0.119201161,0.056815237,0.051532574,0.053628016,27.54414177,28.08697891,27.68919373,27.76315117,27.51783943,21.61419296,22.06875038,21.85325623,21.98203087,21.95768356,15.72864628,16.10781288,16.06067657,16.25104141,16.44700623,0.068032674,15.9813633,17.15791702,17.27781296,17.68343735,17.14009857,3.682812452,3.847526073,3.679817677,3.646484375,3.562369823,49.71445465,32.42083359,43.72083282,52.413414,86.06627655,712.6240234,347.6246338,517.5610962,533.3119507,980.8287964,22.39469719,22.3073616,22.35480499,21.62273788,20.25612831,19.27243614,18.39724159,19.17663383,20.51692772,21.75562859,22.96738625,22.95453644,97.6953125,767.2010498,962.7457275,1002.305664,1726.706055,1725.324951,1829.149536,2052.068604,2328.637451,2634.653564,2946.871826,85.46099091,95.87614441,108.7979126,123.0955124,137.6828766,8.92755127,7.386835575,8.005104065,9.451848984,10.74850273
TZ202200000008,TZGE81FL,TZ,2022,8,TZ2022DHS,98.88248444,113.6429214,132.7928162,155.546936,164.1058044,16.52900314,10.64886665,13.9256134,17.53032112,29.19360924,32.96203232,34.93152618,33.5291214,34.26538467,31.97786522,11.61121273,11.79606533,11.46705723,11.34694767,10.93773174,9,1181.112305,0.237929866,0.215559795,0.230007768,0.192667708,0.259912729,0,0,0,0,0,24.58123207,8,0,0.032453321,0.064252973,0.362942249,0.075427003,0.667799056,24.57501221,26.19222832,25.4246006,25.95947266,24.68265915,18.07780266,24.32856369,11.18345165,4.007966042,4.300206661,0.295459718,0.14739354,0.060189236,0.088948138,0.085949689,0.242270425,0.090522192,0.030653667,0.048045877,0.048736509,27.3514328,27.92378426,27.52704048,27.62391472,27.37952805,21.52125359,21.99953651,21.76911163,21.9186058,21.88372421,15.74022007,16.12771988,16.0599823,16.276968,16.44179726,0.215885103,16.1879921,17.45292854,17.32008171,17.65356445,17.38745499,3.620081186,3.788614035,3.632711172,3.599377871,3.512254238,59.83633041,40.34444427,50.58773041,63.09824753,102.5353775,733.3598633,367.7143555,619.824646,564.8183594,1134.737671,22.47125244,22.38167953,22.37230682,21.56586647,20.0489254,19.33525848,18.38952255,19.17108727,20.41958809,21.49404526,22.83484459,23.06824875,68.79882813,844.8787231,956.1411133,1272.836182,1344.661743,1375.17395,3802.188965,4265.563477,4840.45752,5476.562012,6125.55957,177.7391663,199.4003296,226.2746277,256.0103149,286.3486938,9.584704399,7.854949474,8.216145515,9.782335281,11.23744869
TZ202200000009,TZGE81FL,TZ,2022,9,TZ2022DHS,31.08696747,35.7273941,41.74780273,48.90130615,55.50738525,17.88946342,11.71471977,14.530406,18.72020912,31.32958221,30.3391037,32.22631836,32.57510376,32.67674637,30.23686218,11.50849247,11.72628784,11.41967678,11.28773212,10.88774586,9,1067.842773,0.294720888,0.293278813,0.269973606,0.260728538,0.326304317,0,0,0,0,0,39.33582306,8,0.359975755,0.03396111,0.078687184,0.428613454,0.127094582,0.702605844,23.18183708,24.82090378,25.11088562,25.35693359,23.99998856,7.254684925,37.60054779,8.79351902,4.053915024,2.924116135,0.28735882,0.13953276,0.052631184,0.087708682,0.080674395,0.235091507,0.083520271,0.026382616,0.047152445,0.044426393,27.62653351,28.22760391,27.8379631,27.93349266,27.68486786,21.84761238,22.34202766,22.10312462,22.25834846,22.21494484,16.11804199,16.50131607,16.41828728,16.64576149,16.79712105,0.002123764,16.02457047,17.41548538,17.64666748,18.037117,17.76311302,3.651938677,3.827011108,3.676287651,3.644690514,3.552011013,65.33122253,44.83236313,53.41795349,68.22937012,111.28302,882.7366943,473.1048584,808.9175415,757.8748779,1420.680542,22.89069366,22.79451752,22.59853363,21.97299957,20.23196602,19.73942375,18.78167152,19.56027985,20.75964737,21.88923836,22.92332458,22.90539551,151.4697266,284.9694824,423.1533813,451.4659424,490.7140198,482.2208862,1534.514038,1721.525879,1953.545654,2210.269287,2472.196289,71.76738739,80.51371002,91.36499786,103.3716583,115.621666,9.603804588,7.869930744,8.055600166,9.681041718,11.16528511
TZ202200000010,TZGE81FL,TZ,2022,10,TZ2022DHS,25.59840775,29.41954422,34.37701797,40.26753235,47.09833145,11.98755169,7.410124779,10.6949501,13.13690853,20.88912392,32.06243896,33.53704834,31.34015083,33.97106552,30.40585327,12.08968449,12.23822308,11.89197063,11.75523758,11.2905817,9,1150.477539,0.267068863,0.247964874,0.297277242,0.250008494,0.342664748,0,0,0,0,0,35.95940018,6,0,0.033689581,0.063080579,0.576484442,0.110167801,0.534239769,24.75892639,26.0897274,24.82488441,26.52531815,24.13756561,7.322464466,21.51921082,5.512271881,0.516433537,2.589491606,0.27915433,0.186510175,0.133069634,0.113069244,0.093351893,0.225472674,0.127529621,0.077570349,0.063545406,0.052840013,27.8578701,28.38175583,27.98307419,27.99619484,27.76119804,21.78965569,22.23841286,22.01361465,22.09583282,22.09555817,15.76818562,16.14353371,16.0911026,16.24095726,16.47061729,0,17.45541763,18.64240646,18.309618,19.07957268,17.86927795,3.806467056,3.965697527,3.814322948,3.767578125,3.679253578,45.63022614,29.38631439,40.79399872,49.49432755,76.85638428,672.3198242,435.6192932,627.3618774,667.036377,1022.413147,23.18963623,23.06587219,22.8526783,22.35700226,20.86627579,19.82952881,18.97680473,19.78952217,21.29512596,22.51070976,23.60593796,23.54458427,126.1289063,43.82651138,47.01772308,48.82543564,55.57754517,54.78979111,327.7097778,367.6478882,417.197876,472.0235901,527.9605103,15.30342865,17.16846275,19.48235512,22.04261208,24.65476036,8.226977348,6.900510788,7.697615623,9.258087158,10.19133377
